genome,MAG_ID,cluster,score
3300057050_31.fna,3300057050_31,1_0,34.09979987594252
3300057050_69.fna,3300057050_69,2_0,75.21178012
3300057024_137.fna,3300057024_137,3_0,72.0158351
3300057049_11.fna,3300057049_11,4_0,70.99494810357938
3300031539_58.fna,3300031539_58,5_0,64.2607423
3300033433_22.fna,3300033433_22,6_0,64.54783914972874
3300044712_134.fna,3300044712_134,7_1,80.50735404376724
3300045051_109.fna,3300045051_109,8_1,80.39509562576008
3300044712_27.fna,3300044712_27,9_0,76.70960003253371
3300075647_14.fna,3300075647_14,10_0,69.35786792113883
3300044712_156.fna,3300044712_156,11_0,70.05073384659093
3300045051_151.fna,3300045051_151,12_0,73.21705967742422
3300082287_16.fna,3300082287_16,13_0,53.331751432733796
3300054681_24.fna,3300054681_24,14_0,94.81002549403141
3300057029_134.fna,3300057029_134,15_0,54.45029247803248
3300057040_62.fna,3300057040_62,16_0,66.44341450233848
3300035695_11.fna,3300035695_11,17_1,72.96805742629206
3300044802_14.fna,3300044802_14,18_0,76.39351096278934
3300057035_115.fna,3300057035_115,19_0,77.61080135801411
3300082262_62.fna,3300082262_62,20_0,63.051116740119426
3300044799_39.fna,3300044799_39,21_1,99.09725763230237
3300021432_18.fna,3300021432_18,22_0,60.78559587896736
3300031578_28.fna,3300031578_28,23_1,88.57897365
3300037993_16.fna,3300037993_16,24_0,48.284899638959494
3300038425_23.fna,3300038425_23,25_0,76.41389195042686
3300038427_43.fna,3300038427_43,26_0,38.685307353098686
3300054962_48.fna,3300054962_48,27_1,94.52902514
3300032770_15.fna,3300032770_15,28_0,66.24681196622275
3300033405_19.fna,3300033405_19,29_1,70.30097944959553
3300054961_49.fna,3300054961_49,30_1,90.25210520635657
3300054964_38.fna,3300054964_38,31_1,80.05922443265784
3300031671_23.fna,3300031671_23,32_0,59.31323041256466
3300050019_19.fna,3300050019_19,33_0,55.686620526886315
3300080942_27.fna,3300080942_27,34_0,67.05332894210088
3300054966_22.fna,3300054966_22,35_1,93.1468401
3300054966_49.fna,3300054966_49,36_0,92.62023382143549
3300054961_43.fna,3300054961_43,37_1,88.47533813930946
3300054964_34.fna,3300054964_34,38_0,84.90692536288392
3300054703_38.fna,3300054703_38,39_0,69.66898150766048
3300080032_86.fna,3300080032_86,40_0,80.25952472329877
3300054682_41.fna,3300054682_41,41_1,89.22296555817154
3300054703_62.fna,3300054703_62,42_0,86.28401649536235
3300082211_14.fna,3300082211_14,43_0,63.16755041688286
3300066520_79.fna,3300066520_79,44_0,82.46067430123794
3300054985_53.fna,3300054985_53,45_0,90.2589745
3300060673_22.fna,3300060673_22,46_0,88.31559087883393
3300072776_63.fna,3300072776_63,47_0,89.29983118167148
3300036806_13.fna,3300036806_13,48_1,94.25177712808981
3300080028_182.fna,3300080028_182,49_0,71.95447214501779
3300062708_15.fna,3300062708_15,50_0,66.94079502344466
3300073839_12.fna,3300073839_12,51_0,81.91065048672014
3300077288_63.fna,3300077288_63,52_0,91.74673596192942
3300076649_104.fna,3300076649_104,53_0,94.47573409072895
3300082212_61.fna,3300082212_61,54_0,96.80649449521532
3300061213_49.fna,3300061213_49,55_0,91.19237207856872
3300065474_32.fna,3300065474_32,56_0,93.85407879744332
3300052304_40.fna,3300052304_40,57_0,86.59468951
3300021404_13.fna,3300021404_13,58_0,76.06299756152734
3300044712_102.fna,3300044712_102,59_0,71.62531562201023
3300064746_54.fna,3300064746_54,60_0,81.60362658561833
3300065480_63.fna,3300065480_63,61_0,82.87404928858903
3300081831_122.fna,3300081831_122,62_1,82.29427222424054
3300052894_12.fna,3300052894_12,63_0,86.38364685
3300050020_34.fna,3300050020_34,64_1,86.57457144541846
3300078359_42.fna,3300078359_42,65_0,72.75363381958978
3300013097_7.fna,3300013097_7,66_0,63.23874965979519
3300055047_59.fna,3300055047_59,67_0,93.05936198537395
3300042923_111.fna,3300042923_111,68_1,80.01272881754197
