Length	Assembly
0	Iso1_Assembly
25821138	Iso1_Assembly
24627096	Iso1_Assembly
23014838	Iso1_Assembly
21715751	Iso1_Assembly
18349355	Iso1_Assembly
7593870	Iso1_Assembly
2420129	Iso1_Assembly
2179152	Iso1_Assembly
2142100	Iso1_Assembly
2017275	Iso1_Assembly
1911336	Iso1_Assembly
1812074	Iso1_Assembly
1357808	Iso1_Assembly
1297818	Iso1_Assembly
1204153	Iso1_Assembly
1192196	Iso1_Assembly
1028380	Iso1_Assembly
886052	Iso1_Assembly
816551	Iso1_Assembly
799643	Iso1_Assembly
793974	Iso1_Assembly
749300	Iso1_Assembly
748487	Iso1_Assembly
658670	Iso1_Assembly
597064	Iso1_Assembly
541660	Iso1_Assembly
522054	Iso1_Assembly
518745	Iso1_Assembly
508692	Iso1_Assembly
505115	Iso1_Assembly
441753	Iso1_Assembly
385577	Iso1_Assembly
356006	Iso1_Assembly
347906	Iso1_Assembly
334027	Iso1_Assembly
291050	Iso1_Assembly
259429	Iso1_Assembly
252970	Iso1_Assembly
251516	Iso1_Assembly
242986	Iso1_Assembly
205730	Iso1_Assembly
192582	Iso1_Assembly
188261	Iso1_Assembly
174237	Iso1_Assembly
173535	Iso1_Assembly
166948	Iso1_Assembly
166598	Iso1_Assembly
164293	Iso1_Assembly
159250	Iso1_Assembly
152688	Iso1_Assembly
149226	Iso1_Assembly
148839	Iso1_Assembly
148324	Iso1_Assembly
140664	Iso1_Assembly
140386	Iso1_Assembly
130705	Iso1_Assembly
119807	Iso1_Assembly
118897	Iso1_Assembly
116942	Iso1_Assembly
114051	Iso1_Assembly
108408	Iso1_Assembly
101449	Iso1_Assembly
95926	Iso1_Assembly
92253	Iso1_Assembly
89278	Iso1_Assembly
89204	Iso1_Assembly
86734	Iso1_Assembly
85545	Iso1_Assembly
85004	Iso1_Assembly
84209	Iso1_Assembly
82718	Iso1_Assembly
81496	Iso1_Assembly
80748	Iso1_Assembly
78557	Iso1_Assembly
73339	Iso1_Assembly
73199	Iso1_Assembly
72549	Iso1_Assembly
72240	Iso1_Assembly
70963	Iso1_Assembly
69837	Iso1_Assembly
68868	Iso1_Assembly
67858	Iso1_Assembly
66145	Iso1_Assembly
65797	Iso1_Assembly
64658	Iso1_Assembly
63981	Iso1_Assembly
62085	Iso1_Assembly
60482	Iso1_Assembly
59759	Iso1_Assembly
59545	Iso1_Assembly
58474	Iso1_Assembly
56770	Iso1_Assembly
56599	Iso1_Assembly
55486	Iso1_Assembly
55011	Iso1_Assembly
54604	Iso1_Assembly
54355	Iso1_Assembly
54273	Iso1_Assembly
53152	Iso1_Assembly
51298	Iso1_Assembly
50233	Iso1_Assembly
47527	Iso1_Assembly
47358	Iso1_Assembly
46559	Iso1_Assembly
46516	Iso1_Assembly
46370	Iso1_Assembly
45899	Iso1_Assembly
45072	Iso1_Assembly
44964	Iso1_Assembly
41089	Iso1_Assembly
39082	Iso1_Assembly
38931	Iso1_Assembly
38777	Iso1_Assembly
38477	Iso1_Assembly
38403	Iso1_Assembly
37441	Iso1_Assembly
37357	Iso1_Assembly
37335	Iso1_Assembly
37106	Iso1_Assembly
36957	Iso1_Assembly
36757	Iso1_Assembly
36719	Iso1_Assembly
36705	Iso1_Assembly
36137	Iso1_Assembly
36095	Iso1_Assembly
35782	Iso1_Assembly
34463	Iso1_Assembly
34190	Iso1_Assembly
34055	Iso1_Assembly
33344	Iso1_Assembly
32962	Iso1_Assembly
32659	Iso1_Assembly
31794	Iso1_Assembly
31399	Iso1_Assembly
31258	Iso1_Assembly
30485	Iso1_Assembly
29401	Iso1_Assembly
29256	Iso1_Assembly
28878	Iso1_Assembly
28664	Iso1_Assembly
26733	Iso1_Assembly
25676	Iso1_Assembly
25628	Iso1_Assembly
25496	Iso1_Assembly
24909	Iso1_Assembly
23340	Iso1_Assembly
23334	Iso1_Assembly
21701	Iso1_Assembly
0	FlyBase_Scaffold
32079331	FlyBase_Scaffold
28110227	FlyBase_Scaffold
25286936	FlyBase_Scaffold
23542271	FlyBase_Scaffold
23513712	FlyBase_Scaffold
3667352	FlyBase_Scaffold
1348131	FlyBase_Scaffold
88768	FlyBase_Scaffold
87365	FlyBase_Scaffold
86267	FlyBase_Scaffold
76973	FlyBase_Scaffold
76224	FlyBase_Scaffold
73091	FlyBase_Scaffold
66731	FlyBase_Scaffold
66439	FlyBase_Scaffold
62570	FlyBase_Scaffold
57785	FlyBase_Scaffold
50625	FlyBase_Scaffold
47411	FlyBase_Scaffold
46986	FlyBase_Scaffold
45120	FlyBase_Scaffold
44411	FlyBase_Scaffold
44104	FlyBase_Scaffold
43383	FlyBase_Scaffold
39041	FlyBase_Scaffold
37106	FlyBase_Scaffold
36913	FlyBase_Scaffold
36482	FlyBase_Scaffold
34521	FlyBase_Scaffold
