Length	Assembly
0	<=100kb
88768	<=100kb
87365	<=100kb
86267	<=100kb
76973	<=100kb
76224	<=100kb
73091	<=100kb
66731	<=100kb
66439	<=100kb
62570	<=100kb
57785	<=100kb
50625	<=100kb
47411	<=100kb
46986	<=100kb
45120	<=100kb
44411	<=100kb
44104	<=100kb
43383	<=100kb
39041	<=100kb
37106	<=100kb
36913	<=100kb
36482	<=100kb
34521	<=100kb
34359	<=100kb
33320	<=100kb
33316	<=100kb
31460	<=100kb
29583	<=100kb
28305	<=100kb
27456	<=100kb
27447	<=100kb
26115	<=100kb
25840	<=100kb
25805	<=100kb
25698	<=100kb
25560	<=100kb
25537	<=100kb
24503	<=100kb
24380	<=100kb
23238	<=100kb
22882	<=100kb
22604	<=100kb
21921	<=100kb
21074	<=100kb
20763	<=100kb
19956	<=100kb
19524	<=100kb
18299	<=100kb
16157	<=100kb
15522	<=100kb
15417	<=100kb
15068	<=100kb
14983	<=100kb
14687	<=100kb
14503	<=100kb
14199	<=100kb
14098	<=100kb
14028	<=100kb
14006	<=100kb
13940	<=100kb
13935	<=100kb
13906	<=100kb
13553	<=100kb
13549	<=100kb
13501	<=100kb
13455	<=100kb
13455	<=100kb
13416	<=100kb
13394	<=100kb
13317	<=100kb
13256	<=100kb
13234	<=100kb
13157	<=100kb
13108	<=100kb
13079	<=100kb
12856	<=100kb
12848	<=100kb
12827	<=100kb
12714	<=100kb
12681	<=100kb
12654	<=100kb
12632	<=100kb
12632	<=100kb
12536	<=100kb
12513	<=100kb
12459	<=100kb
12424	<=100kb
12424	<=100kb
12399	<=100kb
12368	<=100kb
12354	<=100kb
12187	<=100kb
12148	<=100kb
12142	<=100kb
12095	<=100kb
12034	<=100kb
12027	<=100kb
12002	<=100kb
12001	<=100kb
11985	<=100kb
11983	<=100kb
11958	<=100kb
11951	<=100kb
11807	<=100kb
11763	<=100kb
11743	<=100kb
11569	<=100kb
11522	<=100kb
11498	<=100kb
11430	<=100kb
11220	<=100kb
11148	<=100kb
11126	<=100kb
10091	<=100kb
9865	<=100kb
9368	<=100kb
9341	<=100kb
8346	<=100kb
8007	<=100kb
7722	<=100kb
7314	<=100kb
7123	<=100kb
7003	<=100kb
6936	<=100kb
6900	<=100kb
6860	<=100kb
6860	<=100kb
6825	<=100kb
6698	<=100kb
6546	<=100kb
6396	<=100kb
6294	<=100kb
6237	<=100kb
6193	<=100kb
6076	<=100kb
6062	<=100kb
6041	<=100kb
6000	<=100kb
5984	<=100kb
5968	<=100kb
5952	<=100kb
5915	<=100kb
5891	<=100kb
5832	<=100kb
5772	<=100kb
5698	<=100kb
5564	<=100kb
5555	<=100kb
5520	<=100kb
5465	<=100kb
5463	<=100kb
5387	<=100kb
5383	<=100kb
5360	<=100kb
5324	<=100kb
