"trait","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76"
"Resource.Acquisition.Substrate.uptake.aromatic.acid.transport",-0.132642057390251,-0.106384717580247,0.0289880268679982,-0.00509631371149375,0.0320662255547871,-0.061055949122873,0.00195276647347056,-0.0939984903701721,0.0213849964824221,-0.114174539416076,0.0476494142473324,-0.165560658450249,0.0590311947599435,-0.0459013561810575,0.00174347613080785,0.0457381654882727,-0.152875115088376,0.0584629826554446,-0.0630744698467592,0.165053268083869,-0.142916604801581,-0.094355996925868,0.0567299629301028,0.0410153049488153,-0.176768612366288,-0.318577501333399,0.0556214596575,0.13254254198885,0.411380737190868,-0.194884745302911,-0.0109082647386761,-0.0519836874293455,-0.145207794128034,0.217510825584495,0.0610719105178712,0.0144682624472913,-0.101737386861322,-0.18678206461685,-0.305932906860622,-0.0973088026468861,0.25235946213271,0.0313604742891389,0.199016795593034,-0.173136966014465,-0.0354658661662041,-0.0237962177477263,-0.0994898671180598,-0.00884990342412263,0.0575220415523307,0.0668117245942709,0.0201740645131968,0.128083699699455,-0.15247353331257,-0.0977439834860609,-0.0239810115065393,-0.0102196419776611,-0.0527698741512709,0.00403559217802958,0.0316012421693225,0.0468430317561915,0.0391335310970378,-0.0431639801528603,-0.0707342667026507,-0.0629904138819179,0.0742772162781032,0.0277548210056699,-0.0117423963986766,-0.00793838808978515,0.0167496145295615,-0.0143545930130368,-1.08980020744808e-16,0,0,0,0,0
"Resource.Acquisition.Substrate.uptake.biopolymer.transport",-0.101007456655269,0.146728621926379,0.232626937200386,0.12958523381073,0.0933838520818411,0.0862690305218405,-0.107256229794299,0.0171215319695096,-0.194679654803543,-0.0442222318587454,0.0190088342832634,-0.0833084984691306,-0.0693307890306275,0.0841863621616215,0.0694410722827171,-0.0118718620153946,-0.0132501070828406,0.0286268473920347,-0.0372634024677914,-0.0823940809065288,-0.065453651239316,-0.0559103882126397,-0.0944023733255096,-0.0137558496417706,0.0564270107502123,0.0857448934668776,-0.0463282238463047,-0.0376402575165312,-0.0401583392951457,-0.058128128122167,0.0261228823213583,0.086499358500174,0.0118157111897238,0.0991168377358499,-0.142520835819598,-0.0142767209485031,0.0650984199931273,-0.0365228815029687,0.0162826906359694,0.00945906569746425,-0.0907512462629657,-0.0574352073662422,0.0343430026207122,-0.078356618527034,0.077588748483894,-0.0119993487467202,0.0492449544688831,0.122416010128717,-0.0350787463576595,0.0134471948552656,-0.0348446660676533,0.101451372691815,0.142496460800362,-0.0235970172546032,0.0286731936672245,-0.0204855818106045,0.0163546235193977,0.0591990334937934,0.152940791564856,0.0547178097131582,-0.0562568472606465,-0.00193495805890622,0.127062032046092,-0.30883682021527,0.645763254714535,0.0414385814160871,0.252500099096153,-0.00666987350264989,0.1053339865072,0.0108135320753689,-2.03561925392923e-16,-1.53008350778123e-17,-1.56671687889499e-16,-5.528140929033e-18,-4.76679399098141e-17,-9.28166256593696e-19
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.amino.sugar.transport",-0.135871724666304,-0.163281616574182,-0.134856306492634,0.0516688838954771,-0.107075870890735,-0.0563441640952487,0.0284018607500795,0.00889175322308408,-0.0110474527657446,0.11868727856826,-0.00608128308502712,0.0827358504052194,-0.0666316323092759,0.0155184951753387,-0.0642562204978314,-0.0898245161286803,0.00729930609545743,0.0735902157551138,-0.0363197596718728,-0.075595398376655,0.0237429717241214,0.0620255524083239,-0.109302734171215,0.0640692178520135,-0.00563284879935479,0.00853289751489068,-0.115798886977176,0.0323517707118467,0.018891212295159,-0.00843669356052794,0.0382692170695856,-0.0466240018579962,-0.00374556917443564,-0.0303716107701125,-0.10757157547485,0.0178345623710888,-0.00903603921110191,0.1172052488398,0.1124624767893,-0.0379049656377515,-0.0703399176436861,0.00889073041319974,0.0157677979066979,0.11699256733619,0.191759603598014,0.0545680259941472,-0.0340389718646792,-0.0626048574345236,0.418224695699846,0.153105352383466,-0.279329585307243,0.0160542926701686,-0.318071680572834,-0.23578910856895,-0.00729327758414022,0.183300820293055,0.282794731792313,0.238336409532691,-0.00527499671700884,0.0380655491034755,0.069020894399382,-0.0745494181448533,-0.23414924150515,0.039409565036663,0.184196327907637,0.0629071119408985,-0.0255312611224105,0.0181135545259818,-0.102051677022204,0.055917999038792,-1.23959461560124e-16,5.12338814746119e-17,1.31913148027266e-16,3.23504042068583e-16,-1.64378429082357e-16,4.19663984579581e-17
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.acid.transport",-0.147574862278109,-0.128675619482542,-0.0822880474642132,0.155186025954075,-0.0084869521463828,-0.01398464630387,0.0913417530742678,-0.00539177941553287,-0.00355087143358774,0.11109939002128,-0.0418336425354986,0.00725885103712759,0.0180861032377859,0.00350144420534702,-0.0311686464448529,0.10080944600065,0.00960463891294933,-0.0286476635636759,0.0812116486217805,-0.0252930071627235,0.000853876698920508,-0.0697065804898131,-0.00120832189591473,0.0436551663816603,-0.0961671285923595,-0.142407468529367,0.0183224543885069,-0.031483338141414,0.0779150549545012,0.0523971558264485,-0.0061302323809313,-0.0651004804771689,0.0725144441069018,-0.0508382424659885,0.170451378134786,-0.117349282122675,-0.0993355436819007,0.0415833254766884,0.125017548572538,-0.0196675184763783,0.0804839574930806,-0.00939536135961113,0.0803437842011496,0.0369607018836443,0.0687118964264353,-0.00875977564662028,-0.13651527592631,0.106500876882749,-0.0587466300555617,-0.070435196778685,-0.426618934453759,0.088474304286775,0.323731916548115,0.406867374314604,0.0358766737849181,0.0567347141759437,0.125094983280224,-0.0680450440668242,0.223566128904088,-0.240667925646943,0.230480689196079,-0.000433338326021382,0.0107264251796053,0.0240451467402634,0.088092996693732,-0.144877131906933,-0.142245446369378,-0.0361504443764981,0.0448895289776117,-0.053265526744727,-3.06323264790846e-17,4.49317255663563e-17,2.24030515311789e-16,3.45385147169625e-17,2.48925635991511e-16,-1.24887914312066e-17
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.derivative.transport.glycoside.transport",-0.135336032708727,-0.180538867771747,-0.078414383136024,0.144818996639768,-0.112793198985637,-0.0452074005911346,0.077394291417151,-0.022494765678948,0.0222242218221543,0.00824672877667568,-0.0539683376758506,-0.0461957897809774,-0.0683696622929737,0.0754497916584175,-0.125726586091897,0.00489817607336999,0.0154199949795163,-0.0911236813387549,0.112742325153738,-0.109274268031605,0.00798620404876903,0.0477238353586634,-0.0444483240441684,0.063923910981192,-0.00168825120974408,0.0130938237745659,-0.0308558526240309,0.0533398831491449,0.0183474967567494,-0.00182446165594899,-0.0308473361686988,-0.00385011719226027,-0.0316751584868289,-0.0121153155025456,0.0276931781258112,-0.085446939467101,-0.0505085727064531,0.00956782406945269,0.0376788845320776,-0.0594410465658609,0.130331502913517,-0.00093954203496399,-0.0379881225323307,-0.0161855201428507,0.0764272488618182,0.0408971971391864,0.0922722974823991,-0.121396297595627,-0.0593801776308962,0.00181521395383639,-0.343112727758122,0.120240756642148,0.000674847859366112,-0.176888796762586,-0.159348773429291,0.00423509063614846,-0.121189470609508,-0.0517584912146225,-0.0489736061115651,0.255568608843453,-0.273267973716535,0.150029378908918,0.514436578827369,-0.101943618577318,-0.207898057142621,0.0244288150190832,0.21976653531753,0.0314510329076121,-0.0124681816476715,-0.113046768368375,2.79660430041545e-16,-3.02157918342897e-16,2.53055276689926e-16,2.48360321934543e-16,-1.67666179597238e-16,5.01719693006507e-17
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.phosphate.transport",-0.118917490926629,-0.137612772447408,-0.00590675541265773,0.208338590992438,-0.0339369573145462,0.0380595047731271,0.0829773125219939,0.0212739559151975,0.166892416685463,-0.0294979526485694,-0.116329375064847,-0.0262198024357257,0.00998897022278776,-0.0640947541438155,-0.00439296594111151,-0.106511686492739,0.0523117850726898,-0.0720929346241668,0.0232985303839643,-0.129809650517942,-0.0151235678817102,0.0918444187906648,0.0268343339259433,0.104498235847448,-0.0144019249898675,0.0742185255225236,-0.0248173517812573,0.045561124636469,0.0328313252310541,-0.109568393970423,-0.201665740223962,-0.166507276481391,0.130833640090592,0.179110726812985,-0.0575740185363657,-0.0861618695267735,-0.115019291305829,0.159582014873964,0.094152905532807,-0.0230339765510454,-0.217612099939734,0.389380044736949,0.242157555137865,-0.0145705882884815,0.162472199949187,0.17060402708549,-0.163924319568134,0.180712274042455,0.0532547260013555,-0.140350681423012,0.327748253670957,0.0490104976702978,0.166288439791965,-0.106312170474064,0.1163201388443,0.00716711866757698,-0.123567947755714,-0.096834087362951,-0.0567245576255413,0.0526944937949835,0.0228614621656269,-0.00716508059953108,0.0135814057448349,-0.00755011440670195,-0.00749987334012667,0.0291022013557162,-0.0275030462555886,-0.0768319785899474,-0.0895227077766325,0.0818849136854131,1.25016098563311e-16,3.00351880791832e-16,-1.21974946925244e-16,-1.50724239156117e-16,2.05433602670078e-16,-6.09929250028988e-17
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.monosaccharide.transport",-0.170412582318102,0.0142512134431619,-0.0527353998004295,0.0111879414327319,0.0170444639454688,0.118580542882504,-0.0304433496250283,0.0218355624986211,-0.129554423111585,0.0932516372678144,-0.153344075622438,0.045532480779165,-0.050556947437309,-0.00641193920622531,0.0125147010233988,0.131772601112145,0.111969040523868,-0.0443252360738485,-0.0104941555166921,0.164108953008991,-0.00996741143857967,-0.00972108914125307,0.0164668889343567,0.0678226219868255,0.0807695033096227,0.0502412992342999,-0.0139281020225285,0.0610084609413203,-0.00140429983229642,0.0129545705090903,0.0127096695914836,0.0989752413033743,-0.0551367803411593,-0.0951906287951453,-0.0310076780151593,-0.000923916387654529,-0.00940250771448047,-0.0526199022034678,-0.000169482026910681,0.0285252622957409,0.0400474050188436,0.173866576061537,0.0342057365875823,0.0893774889739854,0.0323551573539058,0.00239820059458373,0.0283595669591679,0.00469433395682568,-0.0596444152998465,-0.0407440014487554,-0.124083262282944,-0.00964401503599198,-0.0244316569719492,0.15325108020249,-0.0586999527384442,-0.302808127545693,-0.252721768849841,0.0364917027874506,-0.142979205202285,0.539814624937913,0.224393155343168,0.0374610370926507,-0.297782361065365,0.121658383292509,0.0808565962968606,-0.215745572111741,0.0864333063232193,0.129900193570201,-0.0392163103495817,0.0208661752454259,-4.63964198829308e-16,1.78881913409793e-16,4.64278303694399e-17,1.24420598768523e-16,-6.11901619409216e-17,3.64550901254275e-17
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport",-0.130039114186396,-0.134044853114424,-0.0646381765018301,0.0970066618823604,-0.0399534840404451,-0.0345242446567277,0.0714354773664455,-0.048812838434861,-0.00045682311766794,-0.0783833231790242,-0.0554629420268542,-0.104218374501627,-0.0140765307322113,-0.0945440196559931,-0.100851405236108,-0.0601107377431285,-0.0671743135786593,-0.040035068051988,0.017347699653978,0.0311876857261872,-0.0684567692780332,0.00474552239595828,-0.103404563934019,0.0145653053497,-0.157360965663391,0.189530094620392,-0.169928603760758,0.157095098979439,-0.21389382294269,-0.0205933822745311,-0.435248822542085,0.0988328833436646,0.0390589043703527,-0.0206536730974583,0.16681954596151,0.290517507206004,0.174176443111905,-0.0461898802930883,-0.229642802475726,-0.044098114852626,-0.114413912043903,-0.214728185799432,-0.130507964708055,-0.0179979232362942,0.0688426526295849,-0.248356499610073,-0.287947596969659,0.12770973672581,-0.178418117892654,-0.005296403031945,-0.0371356738021508,-0.0909797616104766,-0.0315346375739523,-0.0380304211672224,0.0185943437464163,-0.03349152572511,0.0161495039914038,0.0720895136588886,-0.0546087723841616,-0.0267356024086135,0.0417619614578645,-0.0166895016758927,-0.0617525446335937,0.0322234194709039,0.00779435534773082,-0.00122862150867495,0.0483574804355138,-0.0215666477414097,0.0376334341088084,-0.0797700231212482,8.02487142271399e-17,-8.42195088816063e-17,-9.28993120783188e-17,7.32007892313611e-17,-1.57622165471069e-16,8.35243292422657e-18
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.disaccharide.transport",-0.154541776402436,-0.0782488528593972,-0.116571991138185,-0.0609212107306899,-0.0164661543807587,0.044230289834867,0.0795495579060704,-0.0591266125305599,-0.170810430033604,-0.0837862231691395,-0.000659213969529615,-0.0378147936417993,0.0438412774786421,0.0190178445923458,0.0517408491340383,-0.0156087419158566,0.185214915324576,-0.0971255881553144,0.0436368261638522,0.149771719698846,0.0734542881126364,0.0302100520091904,0.0292005188611417,0.0222813784956566,-0.020945715343589,0.128075571882589,-0.0121071444023511,0.0631603442572759,0.0157451611957299,-0.0101206825339963,-0.038048326616389,-0.0153646266236261,-0.0985950281072343,-0.0489894974961833,-0.0082335169966015,0.0625262911117907,-0.0148729197202309,-0.0409237808288911,-0.0323456788423345,0.0351341115325295,-0.21755906765033,-0.0132676011232291,-0.0745025756917274,-0.00318881056360538,-0.0726848843793328,-0.046515842088617,-0.0311122528366949,-0.325964170936251,0.219154174826145,0.193548277622191,0.196773258615626,0.112182280333083,-0.0506912952641655,0.130206331276209,0.0970771270650613,0.146921422770109,-0.134946389852419,-0.171970144388031,0.51022272767579,0.0738633319944527,-0.122063554987297,-0.0159539044757659,0.100501948866293,0.104911337975234,0.0430490169514636,-0.230019215083327,-0.040392323452487,-0.130608125202527,-0.0206505213258465,-0.00475461490199651,-3.40388809648326e-17,-2.06113072846246e-16,-8.66322830682002e-17,-1.86649307175646e-16,-1.03271770141068e-16,7.80753890605238e-18
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.tetrasaccharide.transport",-0.0501185662679469,-0.04377344172569,-0.241606447770329,-0.21232301692023,-0.0285585364632655,-0.100812460955948,0.0297668851118899,-0.0273535390478515,-0.314933509656423,0.0389689569604955,0.00931497088936731,-0.372510589741482,-0.0216336742542746,-0.129494565839013,0.007246716567053,-0.0375752088901839,0.052096524721064,0.0241439939219546,-0.0315018439618867,-0.0486647549801637,0.0174383107045804,0.110169966063493,0.00335563795929845,-0.141639091439928,0.136700211203024,-0.0734324361355481,0.0660375932842688,-0.102009282876188,-0.0283465402516439,-0.112596732182042,0.0332607086479246,-0.0675203486622965,0.0980843382187752,0.0471385067031012,-0.10510778938453,-0.083942744580354,0.0546240438032217,0.115811771526955,0.0255636950340837,-0.00979081151852117,-0.0243582436028393,0.0274507513676536,0.0369596008918146,-0.0402330999545053,0.0040661194066996,0.038616818171221,-0.00922958519799807,0.0410364312460303,0.0103220524825461,-0.0815680998951821,0.0560744909152314,-0.0475660857449034,0.0375911598575806,-0.0356184427070174,0.0380455532528719,0.0305525205684469,0.0305116000727109,0.027634881955102,-0.0798716397253014,0.0153633887522236,0.0335326981730592,-0.0262854095950843,-0.0446804430528179,0.0329027915013458,0.00256226343437438,-0.0248690225763539,-0.00647373893769053,0.0432198141101848,0.17907935505575,-0.635890323898277,-2.3925350030637e-16,-1.41943283829186e-16,1.59766846061607e-16,-4.49763153379746e-17,5.07965311652008e-17,-1.04481786983991e-17
