"trait","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60","PC61","PC62","PC63","PC64","PC65","PC66","PC67","PC68","PC69","PC70","PC71","PC72","PC73","PC74","PC75","PC76"
"Resource.Acquisition.Substrate.uptake.aromatic.acid.transport",-0.158832280216342,0.0186633409281825,-0.0432690089126339,0.0294950166980164,-0.0229392552059352,0.0602026577032372,-0.0755740392906052,0.0611396916494877,-0.0216562754150859,0.107156647557004,-0.0161256364283918,0.113405719201565,-0.104792041552026,0.0146214277059656,-0.0534843385501957,0.0532668428643348,-0.118728854145466,0.01844156258721,0.0172651927428882,-0.148404616995946,0.175606483555879,0.0608316513374318,-0.117723610681659,-0.0383941242217006,0.189044284687255,0.0216260069175961,-0.0702562646237612,-0.14999814284423,-0.212194489264027,0.159211273032404,0.382914561919665,-0.0845969025538689,-0.0875848095548666,-0.148995074637813,-0.114268544092907,-0.00962861633946729,-0.217210333707243,0.0113448409586887,0.231460172169703,0.177040842637188,-0.161095599103154,-0.0425979516457992,-0.0778733596097045,-0.446405008181296,0.1705416023965,0.0774555835090751,-0.00727543814317407,-0.0559305547252097,-0.0176699912486611,-0.0307900052549263,-0.0221780177982106,-0.0162834393624509,-0.0432753688230646,-0.120730263694281,0.0185358027135899,0.174154556043287,0.052927185447057,0.0477921282275518,0.0529736310267311,-0.0847118264315066,-0.0321602184540471,-0.0348022370689248,0.0546311011654766,0.0714750452970434,0.0294827809841436,-0.116254676391695,-0.00720629806321234,0.071910665994373,-0.0266556749738052,0.0143944222606825,1.43134899390138e-16,0,0,0,0,0
"Resource.Acquisition.Substrate.uptake.biopolymer.transport",-0.0650091554283166,-0.282654678756755,0.0166994005921987,0.180528635152012,-0.030089666029929,-0.11500267827893,0.107242580324563,0.158512177880998,-0.0100860834353015,-0.0233527115555667,-0.0112044756881065,0.0676436795901181,0.055958313653702,0.0264869473955772,-0.0600370509913744,0.0623561168343974,-0.0480090495517548,0.0411134670245927,-0.0645674925345177,0.0393272376173041,-0.0323672167245765,0.14624845905875,0.00344248759691539,-0.0144373265383019,-0.0910181087547632,-0.0115192612119568,0.0725010285235742,0.031893115974318,0.0861809651090837,0.0633303952434122,-0.0108062917756773,0.00290973056942842,-0.0499144563282847,-0.10610305779577,0.0919143315582212,-0.0124545370288054,0.0271543873420657,0.00514972435492886,-0.150516466483028,0.000433760672920461,0.149584656341829,-0.0923990215976645,0.00441688065679438,-0.0292793814361836,-0.0109988999501976,-0.00980288314238492,0.102520955876552,-0.0127380973523383,-0.0161692866835749,0.065518064749481,-0.093660594490159,0.0483464435182489,-0.18652840453023,0.102623281390769,-0.110847682353448,-0.0183269891443516,-0.0326518091646863,0.0207684593379468,0.0485384352541434,0.0621903952023133,0.00366520205545844,-0.0893429677659891,0.0840079560191219,-0.14189891350898,0.37302436521818,-0.598374829131948,-0.203299872513994,-0.0344740022900462,-0.110224121379672,-0.0108209884018645,3.03458123093443e-16,1.25258220574551e-16,-2.1212853615938e-17,1.94112661186382e-16,4.16295068955811e-17,-2.47220914210002e-17
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.amino.sugar.transport",-0.173028473060408,0.152542222113215,0.0443736271396177,0.00646591757610507,0.103180765510437,0.0585150648060834,0.0044882626233102,-0.0474433195897079,0.0685743372446901,-0.0782743665606918,0.0254587461702568,-0.0326124738007901,0.0860068901812868,0.0404893854322066,0.100621380775334,-0.0170833245618249,-0.0115158425763515,0.0780850285054285,0.0532037035793792,0.122587868312932,-0.0376038626578992,0.0149821003623748,0.0709181922026516,-0.0386848397249977,0.0281186049580624,0.0321488186647716,0.0494624818709133,-0.0875097116457369,0.0270829935843525,-0.0398575932401611,-0.00692006413702744,-0.0139363664947985,-0.0116750541269686,0.048430372455806,0.0270354593211015,-0.0821794238713231,0.031602643082844,-0.110851055768684,-0.0619298270931059,-0.00680824396279214,-0.0177148546053115,-0.0151749049666903,0.0360964389972944,0.0864455338500568,-0.0934933216143495,0.0581696948240759,0.0485866894131316,-0.2163909636747,-0.247776949359613,-0.164490421170261,-0.0424729749342699,-0.00242829435777663,0.232678857837864,-0.0409756377919229,-0.0994422479419075,0.017113992176804,0.443151088889035,0.0170911059382498,0.229488925931025,-0.0493453199237833,-0.0217696265782131,-0.256990641784812,0.37985210795328,-0.0420430071586339,-0.202902213198754,-0.145976509073097,-0.104454272849514,0.202855183244535,0.111718105244878,-0.0656206547773698,3.27417255719939e-16,-8.68453106235251e-17,-1.31539834307009e-17,6.93674212876957e-18,6.79928873169927e-17,-5.52979385962222e-17
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.acid.transport",-0.177641084237193,0.104482654849517,0.0742438016487703,0.112052808496791,0.0388948982346576,0.0293138613135464,-0.0220991350846218,-0.0744136688849757,0.0621939943558523,-0.115195691883554,0.00656526423474043,-0.0357050366429719,-0.0142300547867601,0.0254559242413047,-0.0508843798096201,0.0193384196502276,-0.0192767044487967,-0.111960279589501,-0.00625683784924436,0.0408903920387739,-0.00105144404040214,-0.053633138974459,-0.0528465179194268,-0.0346025819595124,0.13236222670376,-4.11068875492415e-05,-0.0528301598576863,-0.0634153604279886,-0.120733291229362,-0.0259489365751317,-0.0350343584020812,0.0189224988096361,0.0580629793647656,0.0455876228208047,-0.0915874762652852,0.0984134817070004,-0.0143029066289417,-0.0692984857803415,0.0208216049708678,0.0954013120767803,-0.217175251686372,0.0428412962266713,0.0464504817857201,0.0403519654797421,-0.0384339049060491,0.0415022823453193,-0.00841212889774343,0.0104498577060677,-0.0348175132399486,0.0560701985898666,-0.193935902382633,-0.157382474064823,-0.224414761534994,0.0165064361050112,-0.282750030366307,-0.336673963847777,0.111551204625549,-0.0587793236923916,0.0934127228039729,0.430475366003827,0.0810425444277455,-0.00351734079691884,-0.334221166631596,-0.155824628945493,0.0204053393202593,-0.037156399175793,0.166342185663467,0.230112148864502,-0.0492951329587175,0.062387105340951,-4.10069955256886e-16,1.22346305115922e-16,-2.28461604523514e-17,8.90555119101356e-17,-1.50067428373801e-16,-4.46637459456175e-17
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.derivative.transport.glycoside.transport",-0.18528315922684,0.107931532244139,0.0632361047581013,0.0709937705626425,0.104867856403295,0.0593639595367415,-0.0642895322613131,-0.0437920668187136,-0.0113121535961729,-0.0827631539363401,-0.00781990865513957,0.0570992500031981,0.0483249849440726,0.0400320774200348,0.0653837078242069,0.0624834169778926,0.00979003260852607,-0.135177480420055,-0.0596862042110258,0.147217798675459,-0.0246317097122787,-0.056297439527858,0.029113808320917,-0.0448075600476454,-0.0148123907657836,0.0133002072297988,0.00618089152402237,-0.0474333788030395,0.0254630566567095,-0.0429228944878442,0.0140786234637066,-0.0640876530869402,0.0308050674075189,0.0363049007464065,-0.0193740302458007,0.031591481981963,0.0049603988561822,-0.0305868490971423,0.0212551751930281,0.0372636216564251,-0.11897572562765,-0.0431366403668433,0.0705158904550044,-0.017362387049522,-0.0128287888482513,-0.0298062215421864,0.0223548776831762,0.0784828130687193,-0.0631283353977219,-0.0331326625880691,-0.0482419559020856,-0.0116461863039066,-0.201247029442314,0.0744872711600166,0.021003238269573,0.0272675157095258,0.372112025055579,0.0438464021444509,0.0402320193816274,-0.198998228988359,0.0581245666631439,0.0502328369955126,0.00546837435345292,-0.00944122020838953,0.33862592928537,0.203009856936172,-0.00389307683280699,-0.626238969263254,0.0214103385898538,0.126078655873793,-9.3480138105249e-17,-1.26199985294212e-16,8.68316997857352e-17,2.22729441729054e-17,2.44838224341092e-16,-2.32188253672052e-17
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.phosphate.transport",-0.161833746501206,0.0420448003298716,0.0558758271269933,0.147508099437139,0.0642875953574316,0.0021573675806534,-0.118799165970496,-0.153013466203383,-0.0903055270096598,-0.0214180730346031,-0.0480318068215552,-0.0109051172854983,-0.023544880173885,0.058673436836144,0.0521150630821717,-0.120083729807305,0.0139030838831397,0.0135910298879869,-0.079417028726378,0.117494567395096,0.0153850700266294,-0.078344186069285,-0.00847176535045832,-0.0370942546176759,-0.0735122692060347,0.0108788586619774,0.0137186205891294,-0.0662334179794466,-0.00993882936455794,0.0514246043254718,-0.134649898851123,-0.20994399456575,-0.0340971577800539,0.0353003348213056,-0.0739108220327208,-0.0561127744919869,-0.0929983232336932,-0.150976705373877,-0.0279020181630873,0.0507305555740928,-0.012081417361403,0.0821714942684591,0.286187345212914,-0.0394775244773916,-0.125831765896509,0.367250043422077,0.22999571137463,-0.289818730703558,0.0934066218621678,-0.107913923328122,-0.138027946011881,0.230499464457502,0.0222600733804683,0.025442094005618,-0.0235332384205448,0.0231990356187125,-0.380639473808996,-0.137065068451127,-0.000965778343306925,-0.159766194678157,0.0585397255827852,0.133749327585033,-0.0230187024928248,0.0658168921033725,0.0754841538537054,-0.0210948193765842,0.0853912942533244,0.0149628200723366,0.111571785703929,-0.0996004224485769,2.31705867577749e-16,-1.67719286459966e-16,7.57584080276942e-17,-1.54082185129396e-16,1.48359170042238e-16,-3.05386716349878e-17
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.monosaccharide.transport",-0.168082055829959,0.0312726966642765,0.0811302083726053,-0.00580119382896754,-0.0484893903772062,-0.137883227818366,0.0905450753222483,0.0590395441335134,0.0758494329559791,-0.117717651772466,-0.158192930198431,-0.10003501359588,0.0788506490829872,0.00726167530516572,-0.0650286834534816,0.0531734765711115,0.178283426608748,-0.069533413115777,0.064352142411189,-0.154435422113995,0.0447213626041298,0.00192193337325054,0.000897330331653425,-0.0682396324553562,-0.101052981278219,0.0372105865554387,-0.00278813041951893,-0.0092586835635989,0.0957239985221066,-0.0285422307780751,0.116965779852675,-0.0249596837331132,0.0674929013514379,0.0246812042800949,0.0729426288756586,-0.0266560036510828,0.0915226764741438,0.123530550671805,0.0623077738863791,-0.0174031689542088,-0.0552522221096536,0.19004378919333,0.0943385179607285,0.0493267708347713,-0.0823079147934305,0.0266646955884747,0.0751572009193068,0.00215648491839631,-0.0846756003328279,-0.159462494530839,-0.0292452170513829,-0.437026643624849,-0.318969072834769,0.028559246881278,0.113379605150782,0.171517529828994,-0.158970547903894,-0.197102707012999,-0.0225376858196829,-0.25344256683063,-0.10259267313194,-0.271186832832211,-0.144499502842681,-0.0329497328634744,-0.201992661093143,-0.0458806047074828,-0.0733521709051866,-0.00232419639309889,0.0230864183892426,-0.0154933232216561,-1.02307057977622e-16,2.62681112604215e-16,-2.6589225827066e-17,-1.55926298298002e-16,6.25400791384587e-17,2.81086687462765e-17
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport",-0.162106490727097,0.0926808026756507,0.0404782275849305,0.0633346116285478,0.042738477078782,0.0471144280266494,-0.0745193515490328,0.00384194505573296,-0.0543222562123974,-0.035291835248712,-0.0276518729837047,0.0799988411971171,-0.0754755940532829,0.139095498896365,0.0700668248915884,-0.0151382485543392,-0.0604803083401943,-0.0506233018107876,-0.0265203636262899,-0.0184599373060019,0.0735678290530012,0.0435902742637512,0.0535038189860146,-0.0181295865414642,0.0281844298767613,-0.11681449882735,0.0862703103781386,-0.141571156088032,0.200397826352645,-0.0978837006286976,-0.160064451998102,-0.331610723580406,0.0599493187078193,0.0963035414482521,-0.21411648213123,0.0531194183332386,-0.102366434527529,0.197023098700774,0.123908719503499,-0.180217239710207,0.3044854581386,-0.117112562529403,-0.0800656366983078,-0.0949980040937643,-0.0316649313814371,-0.301356432327876,-0.193989056052122,-0.216716502276193,0.312910078185254,0.113962620577124,-0.126187781776938,-0.175295103739621,-0.00288628107855837,0.0697626263699589,0.0161105232315826,-0.0154875422232328,-0.00496419633187909,-0.0494107413277772,0.0374136051089478,0.0346442808235996,-0.0483591896646791,0.0377899202691936,0.0761954350430652,0.00824931906421414,-0.128462552847283,-0.0572211364973332,-0.00187228809241736,-0.00247297951980352,-0.037439708835849,0.0868352108086255,-1.66745547522662e-16,9.38166652194641e-17,1.39089139390217e-16,-3.75959637477166e-18,-1.65497549431501e-16,-2.44078558701216e-17
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.disaccharide.transport",-0.169378969052384,0.118514644930372,0.0352651777164746,-0.0627135978625423,-0.0480622029935201,-0.0425975155552085,0.00637405372778625,0.15867785576346,-0.0176602842451194,-0.119215872719198,0.00811314913968295,0.0909809604181541,-0.080145471848545,-0.0576717236084991,0.00255877572577401,-0.066561165422912,0.234417556136139,-0.0394833908432184,-0.0226845538406873,-0.0861208980677248,-0.0410548725809944,-0.038598504267469,-0.00405037418843543,-0.0103970972161658,-0.080607233236064,-0.0719974425078318,0.0404990174813284,-0.0384436121445263,0.0216025342921627,-0.0288769394461525,0.0436629005371962,-0.0388802805432063,-0.0587320515123297,0.0937701661993524,-0.0606778997523686,-0.00351883857069269,-0.048055207526981,0.00673562356975297,-0.0226085716256638,0.00361299639724173,0.247783223790518,-0.00537829219302538,0.00713466729266519,0.0552342499406862,0.0147174836200308,0.0627825123613389,-0.286369627648822,-0.0111670089628239,-0.194695021417837,0.00833706491020932,0.187650530255868,0.103973297020671,0.145485855090437,-0.178323431741064,-0.1844824292456,0.14439222748437,-0.0782421896668803,0.331941662514438,0.0401162831013125,-0.161439615591264,0.192351702363801,-0.146109267495309,-0.270952223744432,-0.201770559077234,0.111782893293756,-0.0935950623848498,0.314598532114098,0.005342224460857,0.0142136768443104,0.00631277941739074,4.18998612395023e-16,1.12613976787082e-16,-1.88022712485643e-16,6.20210351283686e-18,-5.67312881153549e-17,4.1512432868915e-17
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.tetrasaccharide.transport",-0.0318929019427407,0.214002515618492,0.0121547612289262,-0.196497385148543,-0.0414098376319855,0.0856156130236816,0.151790907632781,0.198871786335367,0.138159016828934,-0.122247668844452,-0.0660283641245199,0.325786637817979,-0.112007675593449,0.21534926017086,-0.0572115597214612,-7.63446186943378e-05,-0.00907430041838531,0.108627881192327,-0.0451584218893975,-0.01563685825202,0.0138568250856901,-0.051531735857405,0.143875354445891,0.0792220753844969,0.0175273342157005,0.0627864214813815,0.00660042437596126,0.152815796994389,-0.0378061206939028,0.165000490710839,-0.0729671500933043,0.00715762357199459,-0.0739415660273734,-0.0257490259785747,0.128083287332596,0.0278804409855203,0.00479879091323937,-0.111262995955104,-0.0710463587853573,-0.0638750767484537,-0.0336356026530888,-0.0157773421181402,0.0437111234467398,-0.0167438029336024,-0.0100474269810644,0.106510214878551,0.0581099173705334,-0.00451497166590582,0.041189067894063,-0.0621403471422368,-0.0305902828108552,0.048558151965021,0.046957645149037,0.0404747743704873,0.0152997392681266,-0.0518332793672557,-0.0838536406640264,-0.0841351382019073,0.0204739536691786,-0.0290249584624639,-0.035295569339037,-0.0180289556656206,0.0264330759182836,0.0110060336333913,-0.0649564914657962,0.00555186604832619,-0.0232147245267115,0.0232590717812809,-0.185939087910748,0.627586186617251,-3.62803307059501e-16,1.61066249473166e-16,1.92535010973026e-17,-1.88058198408903e-16,2.14036807560995e-16,-9.942798401313e-18
