"trait","PC1","PC","direction","PC2","PC3","PC4","PC5"
"Stress.Tolerance.Specific.temperature.low.membrane.stabilization.fatty.acid.desaturase",-0.00442759235338745,"PC1","positive",NA,NA,NA,NA
"Stress.Tolerance.Specific.temperature.high.heat.induced.transcriptional.regulation.heat.induced.transcription.factor",-0.0207208448629879,"PC1","positive",NA,NA,NA,NA
"Stress.Tolerance.Specific.temperature.low.cold.sensing.machinery.cold.sensing.two.component.system",-0.0250824534218111,"PC1","positive",NA,NA,NA,NA
"Stress.Tolerance.Specific.pH.stress.protection..repair..degradation.of.denatured.misfolded.proteins.periplasmic.acid.resistance.protein",-0.0363714591128874,"PC1","positive",NA,NA,NA,NA
"Stress.Tolerance.Specific.oxygen.limitation.oxygen.sensing.oxygen.sensing.two.component.systems",-0.0376510611818173,"PC1","positive",NA,NA,NA,NA
"Stress.Tolerance.Specific.envelope.stress.phage.resistance.phage.shock.system",-0.0410078470271057,"PC1","positive",NA,NA,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.heteromannan.breakdown",-0.0411078399659394,"PC1","positive",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.N.compound.transport.ammonium.transport",-0.041815598464503,"PC1","positive",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.tetrasaccharide.transport",-0.0501185662679469,"PC1","positive",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.lipid.transport.cell.membrane.lipid.transport",-0.0544357018392533,"PC1","positive",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.nucleic.acid.component.transport.nucleotide.transport",-0.0630949019675309,"PC1","positive",NA,NA,NA,NA
"Stress.Tolerance.General.protection..repair..degradation.of.denatured.misfolded.proteins.heat.shock.proteins",-0.0651347815441086,"PC1","positive",NA,NA,NA,NA
"Stress.Tolerance.Specific.temperature.high.protection..repair..degradation.of.denatured.misfolded.proteins.heat.shock.proteins",-0.0651347815441086,"PC1","positive",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.N.compound.transport.nitrate.transport",-0.0660650848289859,"PC1","positive",NA,NA,NA,NA
"Stress.Tolerance.Specific.pH.stress.consumption.of.excessive.cytoplasmic.protons.urease.system",-0.0676982367605501,"PC1","positive",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.free.amino.acids.transport",-0.18416226836169,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carboxylate.transport.dicarboxylate.transport",-0.170626312025256,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.monosaccharide.transport",-0.170412582318102,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.degradation.simple.compound.degradation.protein.degradation",-0.168902038862417,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.osmolyte.transport",-0.164630854911283,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.ion.transport.metal.ion.transport",-0.158632844225051,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.disaccharide.transport",-0.154541776402436,"PC1","negative",NA,NA,NA,NA
"Stress.Tolerance.Specific.desiccation.osmotic.salt.stress.accumulation.of.compatible.solutes.transport.of.compatible.solutes",-0.153265256259955,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.nucleic.acid.component.transport.nucleobase.transport",-0.15231424562959,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.secondary.metabolite.transport.siderophore.based.transport",-0.151805180474588,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.organophosphorus.compound.transport",-0.151706769271673,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.peptide.transport",-0.151587067434547,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.vitamin.transport.vitamin.B.transport",-0.149368704882148,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.acid.transport",-0.147574862278109,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.sugar.alcohol.transport",-0.147482678218782,"PC1","negative",NA,NA,NA,NA
"Stress.Tolerance.General.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",NA,"PC2","positive",0.261838972601783,NA,NA,NA
"Stress.Tolerance.Specific.temperature.high.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",NA,"PC2","positive",0.261838972601783,NA,NA,NA
"Stress.Tolerance.Specific.pH.stress.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",NA,"PC2","positive",0.261838972601783,NA,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.cellulose.breakdown",NA,"PC2","positive",0.229051556822108,NA,NA,NA
"Stress.Tolerance.General.biofilm.formation.EPS.biosynthesis.export",NA,"PC2","positive",0.207515936993676,NA,NA,NA
"Stress.Tolerance.Specific.desiccation.osmotic.salt.stress.enhancement.of.microenvironment.EPS.biosynthesis.export",NA,"PC2","positive",0.207515936993676,NA,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.chitin.breakdown",NA,"PC2","positive",0.206469370775285,NA,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xylan.and.heteroxylan.breakdown",NA,"PC2","positive",0.194920343855919,NA,NA,NA
"Stress.Tolerance.Specific.temperature.low.destabilization.of.secondary.structures.in.mRNAs.mRNA.stabilization",NA,"PC2","positive",0.191185876220757,NA,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.mixed.linkage.glucan.breakdown",NA,"PC2","positive",0.178732704840766,NA,NA,NA
"Stress.Tolerance.Specific.temperature.high.heat.induced.transcriptional.regulation.heat.induced.transcription.factor",NA,"PC2","positive",0.166647970577193,NA,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.heteromannan.breakdown",NA,"PC2","positive",0.16293208022573,NA,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xyloglucan.breakdown",NA,"PC2","positive",0.162518707242417,NA,NA,NA
"Stress.Tolerance.Specific.temperature.high.protection..repair..degradation.of.denatured.misfolded.proteins.heat.shock.proteins",NA,"PC2","positive",0.148261737340609,NA,NA,NA
"Stress.Tolerance.General.protection..repair..degradation.of.denatured.misfolded.proteins.heat.shock.proteins",NA,"PC2","positive",0.148261737340609,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.derivative.transport.glycoside.transport",NA,"PC2","negative",-0.180538867771747,NA,NA,NA
