"trait","PC1","PC","direction","PC2","PC3","PC4","PC5"
"Stress.Tolerance.Specific.temperature.high.heat.induced.transcriptional.regulation.heat.induced.transcription.factor",0.0352217860848553,"PC1","positive",NA,NA,NA,NA
"Stress.Tolerance.Specific.temperature.low.cold.sensing.machinery.cold.sensing.two.component.system",0.0329425081004711,"PC1","positive",NA,NA,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.heteromannan.breakdown",0.0316876408022053,"PC1","positive",NA,NA,NA,NA
"Stress.Tolerance.Specific.temperature.low.membrane.stabilization.fatty.acid.desaturase",0.0301810285480191,"PC1","positive",NA,NA,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.cellulose.breakdown",0.0243238286531965,"PC1","positive",NA,NA,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.mixed.linkage.glucan.breakdown",0.0183654666932689,"PC1","positive",NA,NA,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xyloglucan.breakdown",0.01235510308354,"PC1","positive",NA,NA,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xylan.and.heteroxylan.breakdown",0.00660263088935998,"PC1","positive",NA,NA,NA,NA
"Stress.Tolerance.Specific.envelope.stress.phage.resistance.phage.shock.system",-0.00500563439946967,"PC1","positive",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.N.compound.transport.ammonium.transport",-0.0182627998988803,"PC1","positive",NA,NA,NA,NA
"Stress.Tolerance.General.protection..repair..degradation.of.denatured.misfolded.proteins.heat.shock.proteins",-0.024107614871101,"PC1","positive",NA,NA,NA,NA
"Stress.Tolerance.Specific.temperature.high.protection..repair..degradation.of.denatured.misfolded.proteins.heat.shock.proteins",-0.024107614871101,"PC1","positive",NA,NA,NA,NA
"Stress.Tolerance.General.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",-0.0263455216140872,"PC1","positive",NA,NA,NA,NA
"Stress.Tolerance.Specific.temperature.high.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",-0.0263455216140872,"PC1","positive",NA,NA,NA,NA
"Stress.Tolerance.Specific.pH.stress.protection..repair..degradation.of.denatured.misfolded.proteins.ATP.dependent.proteases",-0.0263455216140872,"PC1","positive",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.free.amino.acids.transport",-0.198934550611137,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.nucleic.acid.component.transport.nucleobase.transport",-0.193818079047283,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.osmolyte.transport",-0.185419542879138,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.derivative.transport.glycoside.transport",-0.18528315922684,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.vitamin.transport.vitamin.C.transport",-0.181530923211247,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.acid.transport",-0.177641084237193,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carboxylate.transport.dicarboxylate.transport",-0.17700036080903,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.amino.sugar.transport",-0.173028473060408,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.secondary.metabolite.transport.siderophore.based.transport",-0.169485199554824,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.sugar.alcohol.transport",-0.169388825216462,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.disaccharide.transport",-0.169378969052384,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.monosaccharide.transport",-0.168082055829959,"PC1","negative",NA,NA,NA,NA
"Stress.Tolerance.Specific.desiccation.osmotic.salt.stress.osmotic.sensing.two.component.systems..osmotic.sensors.salt.potassium.sensors",-0.164418850761736,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.peptide.transport",-0.163843636853215,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport",-0.162106490727097,"PC1","negative",NA,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.trisaccharide.transport",NA,"PC2","positive",0.214012703852128,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.tetrasaccharide.transport",NA,"PC2","positive",0.214002515618492,NA,NA,NA
"Stress.Tolerance.Specific.envelope.stress.phage.resistance.phage.shock.system",NA,"PC2","positive",0.212707501429195,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.lipid.transport.cell.membrane.lipid.transport",NA,"PC2","positive",0.17762330819704,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.polysaccharide.transport",NA,"PC2","positive",0.177183701119434,NA,NA,NA
"Stress.Tolerance.Specific.temperature.low.cold.sensing.machinery.cold.sensing.two.component.system",NA,"PC2","positive",0.159398661226208,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.amino.sugar.transport",NA,"PC2","positive",0.152542222113215,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.nucleic.acid.component.transport.nucleotide.transport",NA,"PC2","positive",0.148265303824554,NA,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.mixed.linkage.glucan.breakdown",NA,"PC2","positive",0.133371609896137,NA,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xylan.and.heteroxylan.breakdown",NA,"PC2","positive",0.122367989868328,NA,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xyloglucan.breakdown",NA,"PC2","positive",0.119107751308774,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.oligosaccharide.transport.disaccharide.transport",NA,"PC2","positive",0.118514644930372,NA,NA,NA
"Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.heteromannan.breakdown",NA,"PC2","positive",0.114516318021516,NA,NA,NA
"Stress.Tolerance.Specific.oxygen.limitation.oxygen.sensing.oxygen.sensing.two.component.systems",NA,"PC2","positive",0.114120617584618,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.carbohydrate.transport.carbohydrate.derivative.transport.glycoside.transport",NA,"PC2","positive",0.107931532244139,NA,NA,NA
"Resource.Acquisition.Substrate.uptake.biopolymer.transport",NA,"PC2","negative",-0.282654678756755,NA,NA,NA
