seqname	length	gc
2Cen_mapped_Scaffold_10_D1684	19956	31.6797
2Cen_mapped_Scaffold_43_D1668	44411	22.5147
2R2_mapped_Scaffold_56_D1828	13157	38.717
3Cen_mapped_Scaffold_1_D1896_D1895	76224	37.584
3Cen_mapped_Scaffold_27_D1777	11983	60.9614
3Cen_mapped_Scaffold_31_D1643_D1653_D1791	87365	42.3236
3Cen_mapped_Scaffold_36_D1605	36913	61.1573
3Cen_mapped_Scaffold_41_D1641	22604	39.7408
3Cen_mapped_Scaffold_50_D1686	23238	52.965
Unmapped_Scaffold_4_D1555_D1692	86267	34.5138
Unmapped_Scaffold_8_D1580_D1567	88768	38.4609
Unmapped_Scaffold_11_D1754	36482	27.2737
Unmapped_Scaffold_13_D1782	25537	26.6319
Unmapped_Scaffold_17_D1756_D1775	62570	26.5782
Unmapped_Scaffold_22_D1753	45120	40.7513
Unmapped_Scaffold_24_D1707	22882	24.4909
Unmapped_Scaffold_28_D1723	46986	38.4944
Unmapped_Scaffold_29_D1705	37106	38.1151
Unmapped_Scaffold_32_D1773	16157	27.3256
Unmapped_Scaffold_35_D1599	57785	31.6916
Unmapped_Scaffold_37_D1608	20763	37.1141
Unmapped_Scaffold_38_D1625	28305	36.8627
Unmapped_Scaffold_44_D1670	25698	39.0886
Unmapped_Scaffold_45_D1673	29583	29.642
Unmapped_Scaffold_46_D1675	25560	24.3975
Unmapped_Scaffold_48_D1678	26115	28.9144
Unmapped_Scaffold_51_D1697	13455	39.1453
Unmapped_Scaffold_52_D1739	43383	28.253
Unmapped_Scaffold_54_D1776	12632	40.7932
Unmapped_Scaffold_58_D1862	10091	45.3176
Unmapped_Scaffold_60_D1601	24503	32.3593
211000022278279	12714	14.1026
X3X4_mapped_Scaffold_6_D1712	33320	41.1104
X3X4_mapped_Scaffold_14_D1732	27447	34.3207
XY_mapped_Scaffold_42_D1648	47411	39.5815
Y_mapped_Scaffold_5_D1748_D1610	73091	40.5495
Y_mapped_Scaffold_9_D1573	66731	32.2249
Y_mapped_Scaffold_12_D1771	66439	34.844
Y_mapped_Scaffold_15_D1727	33316	35.5025
Y_mapped_Scaffold_18_D1698	34521	42.4756
Y_mapped_Scaffold_20_D1762_D1719	39041	40.8827
Y_mapped_Scaffold_21_D1683_D1693	34359	39.1018
Y_mapped_Scaffold_23_D1638	31460	40.7502
Y_mapped_Scaffold_26_D1717	21921	41.8001
Y_mapped_Scaffold_30_D1720	25805	26.9095
Y_mapped_Scaffold_34_D1584	24380	42.0304
Y_mapped_Scaffold_53_D1765	44104	39.7356
211000022279762	11498	9.29727
rDNA	76973	30.7238
211000022278033	1143	34.4707
211000022278089	4222	34.5097
211000022278170	1160	35.0862
211000022278224	1650	34.4848
211000022278269	11430	7.50656
211000022278354	21074	12.048
211000022278391	1152	38.6285
211000022278415	25840	31.9582
211000022278678	1966	41.6582
211000022278894	1303	37.8358
211000022278978	12424	36.6066
211000022279018	6860	39.0379
211000022279130	1990	40.402
211000022279169	3120	35.641
211000022279344	4573	45.3532
211000022279387	1044	35.9195
211000022279450	1719	39.7906
211000022279594	12148	13.6977
211000022279735	7722	35.6255
211000022280087	4986	34.8576
211000022280171	2784	43.8218
211000022280577	3013	33.8865
211000022280583	5026	33.844
211000022280626	2419	34.1463
211000022280652	4581	38.8998
211000022278095	1008	44.0476
211000022278096	1148	40.1568
211000022278164	3073	61.2105
211000022278171	1193	42.917
211000022278205	2176	33.6397
211000022278493	2442	60.5242
211000022278521	1549	61.2653
211000022278535	1045	40
211000022278581	3010	61.8272
211000022278611	3648	60.9649
211000022278672	2221	61.0536
211000022278673	1165	61.3734
211000022278676	1378	42.5254
211000022278711	2084	61.5163
211000022278712	5060	54.7036
211000022278765	4400	62.4545
211000022278858	2435	61.4374
211000022278859	1081	60.8696
211000022278860	2253	60.719
211000022279942	2079	32.0346
211000022279943	1089	33.8843
211000022279946	1011	32.9377
211000022279949	2232	36.9176
211000022279952	1059	44.7592
211000022279954	1021	40.0588
211000022279956	1171	31.5115
211000022279959	1074	29.8883
211000022279960	2400	29.875
211000022279961	3557	40.1462
211000022279966	2326	41.8745
211000022279969	1907	36.0776
211000022279970	1675	39.5821
211000022279971	1819	29.9065
211000022279973	2669	39.5279
211000022279979	1226	34.9103
211000022279980	2476	34.4103
211000022279982	3218	38.5954
211000022279985	1117	36.0788
211000022279987	1141	40.8414
211000022279990	1248	40.1442
211000022280000	1109	46.9793
211000022280002	4231	31.2692
211000022280009	1424	50.9129
211000022280010	2889	37.7639
211000022280011	1029	36.5403
211000022280012	2882	46.0097
211000022280014	1031	30.2619
211000022280018	1142	30.035
211000022280020	1251	44.0448
211000022280025	1039	35.1299
211000022280026	3622	33.683
211000022280028	1943	30.4683
211000022280030	1368	30.848
211000022280031	1473	30.0068
211000022280032	3932	28.5351
211000022280033	2479	29.9718
211000022280035	2943	28.7122
211000022280043	1050	39.4286
211000022280045	1251	37.6499
211000022280050	4608	35.0043
211000022280053	1240	43.3871
211000022280054	1074	46.8343
211000022280056	1152	41.8403
211000022280064	11148	9.84033
211000022280065	1087	31.6467
211000022280068	4256	38.4633
211000022280069	1048	40.1718
211000022280071	1377	28.3224
211000022280074	1641	42.9007
211000022280075	1090	35.6881
211000022280076	1193	38.3068
211000022280079	1101	33.6966
211000022280083	1191	39.7145
211000022280084	1079	32.3448
211000022280085	1225	34.5306
211000022280086	2982	43.1925
211000022280089	2628	31.8113
211000022280097	1105	37.6471
211000022280102	1494	31.4592
211000022280106	1150	43.7391
211000022280108	2664	32.1321
211000022280110	4030	35.8809
211000022280112	2603	29.1587
211000022280114	3080	34.1234
211000022280115	3234	32.1892
