"genome","completeness","contamination"
"3300012893_3.fna",87.23,0.09
"3300012893_1.fna",71.08,1.36
"3300012900_3.fna",81.9,1.38
"3300012909_1.fna",93.97,3.45
"3300012912_3.fna",100,8.54
"3300012913_2.fna",94.83,3.88
"3300012915_4.fna",92.67,8.33
"3300012916_3.fna",75.83,2.37
"3300012958_12.fna",86.03,1.72
"3300012961_8.fna",89.07,4.02
"3300012984_5.fna",81.71,8.23
"3300012984_7.fna",99.04,1.01
"3300012984_4.fna",88.06,5.65
"3300012984_9.fna",81.33,3.78
"3300012985_8.fna",99.28,0.07
"3300012985_9.fna",76.28,1.23
"3300012986_12.fna",82.74,0.3
"3300012987_7.fna",91,0.69
"3300012988_6.fna",87.51,8.83
"3300012988_7.fna",99.43,4.48
"3300012989_7.fna",96.43,5.42
"3300012989_10.fna",79.59,2.23
"3300012989_14.fna",89.34,1.26
"3300013097_6.fna",95.61,1.36
"3300013097_2.fna",85.65,2.17
"3300013097_7.fna",73.45,2.23
"3300014151_11.fna",73.7,7.26
"3300014151_10.fna",88.6,3.42
"3300014151_15.fna",78,1.87
"3300014151_12.fna",94.19,4.19
"3300014152_20.fna",88.03,2.14
"3300014152_12.fna",84.52,2.9
"3300014152_10.fna",96.95,0.29
"3300014153_18.fna",70.31,7.98
"3300014153_11.fna",87.16,1.1
"3300014153_10.fna",91.61,3.55
"3300014155_16.fna",95.48,0.13
"3300014155_13.fna",77.49,1.71
"3300014155_17.fna",99.53,6.54
"3300014155_7.fna",94.84,3.55
"3300014156_11.fna",90,2.4
"3300014156_12.fna",93.3,0.65
"3300014156_8.fna",74.66,1.1
"3300014156_9.fna",75.91,1.21
"3300014156_10.fna",87.18,1.38
"3300014158_9.fna",82.76,1.72
"3300014158_12.fna",91.03,3.09
"3300014158_13.fna",90.08,1.33
"3300014159_14.fna",92.74,1.28
"3300014159_21.fna",81.78,0.93
"3300014159_15.fna",88.73,1.66
"3300014159_10.fna",93.89,1.1
"3300014160_13.fna",82.6,0.9
"3300014160_11.fna",82.84,0.11
"3300014161_15.fna",81,1.24
"3300014161_14.fna",89.27,1.32
"3300014162_12.fna",91.62,3.27
"3300014162_9.fna",88.37,4.42
"3300014162_10.fna",84.34,2.4
"3300014162_17.fna",81.78,0
"3300014162_15.fna",77.34,2.25
"3300014162_8.fna",82.35,1.1
"3300014164_7.fna",82.71,7.18
"3300014164_9.fna",97.44,1.28
"3300014165_9.fna",85.72,1.96
"3300014165_6.fna",94.32,7.27
"3300014167_3.fna",76.54,3.47
"3300014167_13.fna",79.06,1.52
"3300014167_7.fna",84.47,7.99
"3300014167_9.fna",84.25,0.68
"3300014168_13.fna",90.7,2.14
"3300014168_10.fna",98.9,0
"3300014199_9.fna",83.8,8.81
"3300014199_10.fna",97.83,0.88
"3300014199_13.fna",93.26,2.81
"3300014199_15.fna",78.95,0
"3300014199_29.fna",75.03,0
"3300014200_6.fna",76.05,0.67
"3300014200_10.fna",71.05,0.06
"3300014201_9.fna",86.32,4.71
"3300014490_12.fna",74.06,4.9
"3300014490_7.fna",89.34,5.02
"3300014490_8.fna",98.29,8.97
"3300014491_14.fna",95.15,0
"3300014491_11.fna",74.52,0.46
"3300014491_13.fna",70.65,3.37
"3300014491_12.fna",80.79,1.32
"3300014492_11.fna",93.46,2.12
"3300014492_10.fna",82.89,2.85
"3300014492_18.fna",75.28,0.1
"3300014493_13.fna",75.5,1.04
"3300014494_31.fna",73.19,0
"3300014494_16.fna",80.3,5.45
"3300014496_20.fna",72.67,4.87
"3300014496_18.fna",73.61,4.76
"3300014496_19.fna",74.15,0.99
"3300014498_9.fna",80.19,2.75
"3300014498_10.fna",79.83,2.14
"3300014501_21.fna",90,2.25
"3300014501_19.fna",71.74,0
"3300014501_17.fna",92.08,3.24
"3300014502_27.fna",81.74,4.66
"3300014502_29.fna",72.6,4.91
"3300014502_24.fna",70.01,9.72
"3300014502_30.fna",91.04,2.15
"3300014502_34.fna",84.09,7.43
"3300014502_16.fna",84.09,6.57
"3300014638_7.fna",97.77,3.96
"3300014638_10.fna",94.19,2.9
"3300014638_12.fna",91.45,1.28
"3300014654_13.fna",80.19,8.07
"3300014655_16.fna",82.63,2.25
"3300014655_9.fna",98.9,0
"3300014655_10.fna",93.84,2.05
"3300014655_21.fna",70.53,0
"3300014655_17.fna",82.17,0.8
"3300014655_8.fna",97.6,3.27
"3300014655_7.fna",98.85,1.15
"3300014838_20.fna",95.51,1.26
"3300014838_16.fna",98.6,2.57
"3300014838_30.fna",70.69,1.72
"3300014839_30.fna",74.07,2.22
"3300014839_37.fna",89.07,2.15
"3300014839_38.fna",89.88,2.01
