# BUSCO version is: 6.0.0 
# The lineage dataset is: drosophila_odb12 (Creation date: 2025-07-01, number of genomes: 32, number of BUSCOs: 9348)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
5at7215	Complete	2L	8528309	8528054	-	209.7	85	https://www.orthodb.org/?query=5at7215	anaphase-promoting complex subunit 11
11at7215	Complete	X	19741197	19740909	-	213.8	93	https://www.orthodb.org/?query=11at7215	cytochrome c oxidase subunit 6B1
26at7215	Complete	2R	20643724	20643325	-	250.8	108	https://www.orthodb.org/?query=26at7215	DNA-directed RNA polymerase III subunit RPC10
28at7215	Complete	3R	9778134	9778724	+	151.2	55	https://www.orthodb.org/?query=28at7215	Small ribosomal subunit protein uS14
31at7215	Complete	2L	3545586	3546752	+	196.1	81	https://www.orthodb.org/?query=31at7215	protein drumstick
39at7215	Complete	2L	6490757	6490289	-	256.6	110	https://www.orthodb.org/?query=39at7215	PHD finger protein 5a
50at7215	Complete	X	20244882	20247775	+	534.8	225	https://www.orthodb.org/?query=50at7215	protein obstructor-E
71at7215	Complete	3R	8358381	8359723	+	833.8	345	https://www.orthodb.org/?query=71at7215	LIM and senescent cell antigen-like-containing domain protein 1 isoform X1
74at7215	Complete	X	16716665	16714891	-	352.4	178	https://www.orthodb.org/?query=74at7215	transforming growth factor beta-1-induced transcript 1 protein
80at7215	Complete	2R	15852388	15853192	+	443.0	185	https://www.orthodb.org/?query=80at7215	protein N-terminal glutamine amidohydrolase
92at7215	Complete	3R	12360002	12362922	+	527.3	220	https://www.orthodb.org/?query=92at7215	C-type lectin-like
97at7215	Complete	X	20150055	20155305	+	943.7	429	https://www.orthodb.org/?query=97at7215	neurogenic locus notch homolog protein 1
101at7215	Complete	2R	12953554	12955072	+	622.8	286	https://www.orthodb.org/?query=101at7215	uncharacterized protein, isoform A
115at7215	Complete	3R	14309135	14309573	+	310.6	129	https://www.orthodb.org/?query=115at7215	DNA-directed RNA polymerase II subunit RPB9
126at7215	Complete	2R	11294265	11293922	-	201.7	94	https://www.orthodb.org/?query=126at7215	UPF0605 protein GA14893
134at7215	Complete	2L	6796481	6790641	-	758.1	323	https://www.orthodb.org/?query=134at7215	LOW QUALITY PROTEIN: sodium/potassium-transporting ATPase subunit beta-2
154at7215	Complete	2L	13803928	13809651	+	616.1	260	https://www.orthodb.org/?query=154at7215	carbonic anhydrase
157at7215	Complete	2R	25246528	25247501	+	619.5	294	https://www.orthodb.org/?query=157at7215	MORN repeat-containing protein 3
166at7215	Complete	3R	27291956	27291662	-	208.2	97	https://www.orthodb.org/?query=166at7215	uncharacterized protein, isoform A
187at7215	Complete	2R	13222169	13221284	-	607.5	255	https://www.orthodb.org/?query=187at7215	F-box/SPRY domain-containing protein 1
197at7215	Complete	3L	19695024	19690508	-	1264.5	528	https://www.orthodb.org/?query=197at7215	chitin deacetylase 1 isoform X1
199at7215	Complete	2L	6557902	6559042	+	284.4	120	https://www.orthodb.org/?query=199at7215	cytochrome c oxidase subunit 5B, mitochondrial
208at7215	Complete	2L	7827169	7825703	-	753.2	315	https://www.orthodb.org/?query=208at7215	WD40 repeat
209at7215	Complete	3L	8649546	8650713	+	764.8	334	https://www.orthodb.org/?query=209at7215	peroxisomal targeting signal 2 receptor
210at7215	Complete	X	11424215	11429628	+	886.3	369	https://www.orthodb.org/?query=210at7215	glutamine synthetase 2 cytoplasmic
214at7215	Complete	2R	24599695	24599255	-	248.0	107	https://www.orthodb.org/?query=214at7215	ATP synthase, subunit F, isoform B
222at7215	Complete	3L	19687727	19689655	+	832.5	346	https://www.orthodb.org/?query=222at7215	G protein beta-subunit 76C
