# BUSCO version is: 6.0.0 
# The lineage dataset is: drosophila_odb12 (Creation date: 2025-07-01, number of genomes: 32, number of BUSCOs: 9348)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
5at7215	Complete	ptg000003l	8680788	8680533	-	209.7	85	https://www.orthodb.org/?query=5at7215	anaphase-promoting complex subunit 11
11at7215	Complete	ptg000010l	11949695	11949407	-	213.8	93	https://www.orthodb.org/?query=11at7215	cytochrome c oxidase subunit 6B1
26at7215	Complete	ptg000002l	4685432	4685831	+	250.8	108	https://www.orthodb.org/?query=26at7215	DNA-directed RNA polymerase III subunit RPC10
28at7215	Complete	ptg000009l	22357448	22356858	-	151.2	55	https://www.orthodb.org/?query=28at7215	Small ribosomal subunit protein uS14
31at7215	Complete	ptg000003l	3643847	3645013	+	196.1	81	https://www.orthodb.org/?query=31at7215	protein drumstick
39at7215	Complete	ptg000003l	6593527	6593059	-	256.6	110	https://www.orthodb.org/?query=39at7215	PHD finger protein 5a
50at7215	Complete	ptg000010l	12455071	12457964	+	534.8	225	https://www.orthodb.org/?query=50at7215	protein obstructor-E
71at7215	Complete	ptg000009l	23777238	23775896	-	833.8	345	https://www.orthodb.org/?query=71at7215	LIM and senescent cell antigen-like-containing domain protein 1 isoform X1
74at7215	Complete	ptg000010l	8919293	8917519	-	352.4	178	https://www.orthodb.org/?query=74at7215	transforming growth factor beta-1-induced transcript 1 protein
80at7215	Complete	ptg000002l	9497464	9496660	-	443.0	185	https://www.orthodb.org/?query=80at7215	protein N-terminal glutamine amidohydrolase
92at7215	Complete	ptg000009l	19774957	19772037	-	527.3	220	https://www.orthodb.org/?query=92at7215	C-type lectin-like
97at7215	Complete	ptg000010l	12367977	12373230	+	943.7	429	https://www.orthodb.org/?query=97at7215	neurogenic locus notch homolog protein 1
101at7215	Complete	ptg000002l	12411182	12409664	-	622.8	286	https://www.orthodb.org/?query=101at7215	uncharacterized protein, isoform A
115at7215	Complete	ptg000009l	17820307	17819869	-	310.6	129	https://www.orthodb.org/?query=115at7215	DNA-directed RNA polymerase II subunit RPB9
126at7215	Complete	ptg000002l	14088424	14088767	+	201.7	94	https://www.orthodb.org/?query=126at7215	UPF0605 protein GA14893
134at7215	Complete	ptg000003l	6899257	6893417	-	758.1	323	https://www.orthodb.org/?query=134at7215	LOW QUALITY PROTEIN: sodium/potassium-transporting ATPase subunit beta-2
154at7215	Complete	ptg000003l	13957847	13963570	+	616.1	260	https://www.orthodb.org/?query=154at7215	carbonic anhydrase
157at7215	Complete	ptg000002l	71352	70379	-	619.5	294	https://www.orthodb.org/?query=157at7215	MORN repeat-containing protein 3
166at7215	Complete	ptg000009l	4805641	4805935	+	208.2	97	https://www.orthodb.org/?query=166at7215	uncharacterized protein, isoform A
187at7215	Complete	ptg000002l	12137320	12138205	+	607.5	255	https://www.orthodb.org/?query=187at7215	F-box/SPRY domain-containing protein 1
197at7215	Complete	ptg000001l	19743632	19739116	-	1264.5	528	https://www.orthodb.org/?query=197at7215	chitin deacetylase 1 isoform X1
199at7215	Complete	ptg000003l	6660674	6661814	+	284.4	120	https://www.orthodb.org/?query=199at7215	cytochrome c oxidase subunit 5B, mitochondrial
208at7215	Complete	ptg000003l	7932902	7931436	-	753.2	315	https://www.orthodb.org/?query=208at7215	WD40 repeat
209at7215	Complete	ptg000001l	8676649	8677816	+	764.8	334	https://www.orthodb.org/?query=209at7215	peroxisomal targeting signal 2 receptor
210at7215	Complete	ptg000010l	3597775	3603188	+	886.3	369	https://www.orthodb.org/?query=210at7215	glutamine synthetase 2 cytoplasmic
214at7215	Complete	ptg000002l	718187	718627	+	248.0	107	https://www.orthodb.org/?query=214at7215	ATP synthase, subunit F, isoform B
222at7215	Complete	ptg000001l	19736335	19738263	+	832.5	346	https://www.orthodb.org/?query=222at7215	G protein beta-subunit 76C
225at7215	Complete	ptg000014l	4168666	4168008	-	321.3	151	https://www.orthodb.org/?query=225at7215	Insulin-like peptide 7
245at7215	Complete	ptg000010l	2386555	2386213	-	274.9	114	https://www.orthodb.org/?query=245at7215	protein yippee-like
277at7215	Complete	ptg000003l	7933784	7937536	+	756.6	309	https://www.orthodb.org/?query=277at7215	serine/threonine-protein phosphatase PP2A
289at7215	Complete	ptg000010l	15351770	15350810	-	687.3	280	https://www.orthodb.org/?query=289at7215	Large ribosomal subunit protein uL18, C-terminal, eukaryotes
298at7215	Complete	ptg000003l	10361283	10359800	-	950.8	410	https://www.orthodb.org/?query=298at7215	alpha-N-acetylgalactosaminidase
300at7215	Complete	ptg000010l	1083508	1083196	-	242.6	104	https://www.orthodb.org/?query=300at7215	Zinc finger, RING-type
302at7215	Complete	ptg000009l	17388772	17395944	+	310.8	147	https://www.orthodb.org/?query=302at7215	ubiquitin-conjugating enzyme E2-17 kDa
307at7215	Complete	ptg000001l	9705610	9706519	+	691.3	297	https://www.orthodb.org/?query=307at7215	UPF0046 protein C25E10.12
309at7215	Complete	ptg000003l	14572095	14571614	-	327.3	141	https://www.orthodb.org/?query=309at7215	Xylanase inhibitor, C-terminal
312at7215	Complete	ptg000002l	14568645	14567614	-	485.2	203	https://www.orthodb.org/?query=312at7215	PPPDE peptidase domain
321at7215	Complete	ptg000009l	19078123	19079970	+	1118.1	483	https://www.orthodb.org/?query=321at7215	methanethiol oxidase
326at7215	Complete	ptg000009l	2874232	2875168	+	289.9	133	https://www.orthodb.org/?query=326at7215	CDGSH iron-sulfur domain-containing protein 2 homolog
336at7215	Complete	ptg000002l	7580681	7581136	+	258.1	130	https://www.orthodb.org/?query=336at7215	uncharacterized protein LOC108596236
339at7215	Complete	ptg000002l	10494924	10495929	+	750.9	331	https://www.orthodb.org/?query=339at7215	probable cytosolic iron-sulfur protein assembly protein Ciao1
354at7215	Complete	ptg000009l	23362167	23361843	-	169.2	84	https://www.orthodb.org/?query=354at7215	uncharacterized protein LOC108085413
358at7215	Complete	ptg000001l	21549175	21549580	+	200.1	89	https://www.orthodb.org/?query=358at7215	V-type proton ATPase subunit e
370at7215	Complete	ptg000001l	11748995	11746405	-	243.5	117	https://www.orthodb.org/?query=370at7215	uncharacterized protein LOC6544369 isoform X1
373at7215	Complete	ptg000009l	23120340	23120595	+	209.5	85	https://www.orthodb.org/?query=373at7215	splicing factor 3b subunit 5
381at7215	Complete	ptg000001l	5374166	5371887	-	337.5	144	https://www.orthodb.org/?query=381at7215	ubiquitin-conjugating enzyme E2 variant 2
391at7215	Complete	ptg000009l	21454199	21457087	+	665.1	283	https://www.orthodb.org/?query=391at7215	phytanoyl-CoA dioxygenase domain-containing protein 1
402at7215	Complete	ptg000003l	10576006	10577756	+	973.3	408	https://www.orthodb.org/?query=402at7215	WD repeat and FYVE domain containing 2, isoform A
407at7215	Complete	ptg000002l	9342281	9342892	+	389.5	164	https://www.orthodb.org/?query=407at7215	Ubiquitin-fold modifier conjugating enzyme 1
