genome,MAG_ID,secondary_cluster,threshold,cluster_method,comparison_algorithm,primary_cluster
3300057050_31.fna,3300057050_31,1_0,0.050000000000000044,average,fastANI,1
3300057050_69.fna,3300057050_69,2_0,0.050000000000000044,average,fastANI,2
3300057024_137.fna,3300057024_137,3_0,0.050000000000000044,average,fastANI,3
3300057049_11.fna,3300057049_11,4_0,0.050000000000000044,average,fastANI,4
3300031539_58.fna,3300031539_58,5_0,0.050000000000000044,average,fastANI,5
3300033433_22.fna,3300033433_22,6_0,0.050000000000000044,average,fastANI,6
3300042876_121.fna,3300042876_121,7_1,0.050000000000000044,average,fastANI,7
3300044712_134.fna,3300044712_134,7_1,0.050000000000000044,average,fastANI,7
3300044673_17.fna,3300044673_17,8_1,0.050000000000000044,average,fastANI,8
3300044712_99.fna,3300044712_99,8_1,0.050000000000000044,average,fastANI,8
3300045051_109.fna,3300045051_109,8_1,0.050000000000000044,average,fastANI,8
3300044712_27.fna,3300044712_27,9_0,0.050000000000000044,average,fastANI,9
3300075647_14.fna,3300075647_14,10_0,0.050000000000000044,average,fastANI,10
3300044712_156.fna,3300044712_156,11_0,0.050000000000000044,average,fastANI,11
3300045051_151.fna,3300045051_151,12_0,0.050000000000000044,average,fastANI,12
3300082287_16.fna,3300082287_16,13_0,0.050000000000000044,average,fastANI,13
3300054681_24.fna,3300054681_24,14_0,0.050000000000000044,average,fastANI,14
3300057029_134.fna,3300057029_134,15_0,0.050000000000000044,average,fastANI,15
3300057040_62.fna,3300057040_62,16_0,0.050000000000000044,average,fastANI,16
3300035170_5.fna,3300035170_5,17_1,0.050000000000000044,average,fastANI,17
3300035695_11.fna,3300035695_11,17_1,0.050000000000000044,average,fastANI,17
3300044802_14.fna,3300044802_14,18_0,0.050000000000000044,average,fastANI,18
3300057035_115.fna,3300057035_115,19_0,0.050000000000000044,average,fastANI,19
3300082262_62.fna,3300082262_62,20_0,0.050000000000000044,average,fastANI,20
3300044798_91.fna,3300044798_91,21_1,0.050000000000000044,average,fastANI,21
3300044799_39.fna,3300044799_39,21_1,0.050000000000000044,average,fastANI,21
3300021432_18.fna,3300021432_18,22_0,0.050000000000000044,average,fastANI,22
3300031578_28.fna,3300031578_28,23_1,0.050000000000000044,average,fastANI,23
3300031669_23.fna,3300031669_23,23_1,0.050000000000000044,average,fastANI,23
3300037993_16.fna,3300037993_16,24_0,0.050000000000000044,average,fastANI,24
3300038425_23.fna,3300038425_23,25_0,0.050000000000000044,average,fastANI,25
3300038427_43.fna,3300038427_43,26_0,0.050000000000000044,average,fastANI,26
3300054961_99.fna,3300054961_99,27_1,0.050000000000000044,average,fastANI,27
3300054962_48.fna,3300054962_48,27_1,0.050000000000000044,average,fastANI,27
3300032770_15.fna,3300032770_15,28_0,0.050000000000000044,average,fastANI,28
3300033402_22.fna,3300033402_22,29_1,0.050000000000000044,average,fastANI,29
3300033405_19.fna,3300033405_19,29_1,0.050000000000000044,average,fastANI,29
3300054680_100.fna,3300054680_100,30_1,0.050000000000000044,average,fastANI,30
3300054961_49.fna,3300054961_49,30_1,0.050000000000000044,average,fastANI,30
3300054962_104.fna,3300054962_104,30_1,0.050000000000000044,average,fastANI,30
3300054968_33.fna,3300054968_33,30_1,0.050000000000000044,average,fastANI,30
3300054961_63.fna,3300054961_63,31_1,0.050000000000000044,average,fastANI,31
3300054962_96.fna,3300054962_96,31_1,0.050000000000000044,average,fastANI,31
3300054964_38.fna,3300054964_38,31_1,0.050000000000000044,average,fastANI,31
3300031671_23.fna,3300031671_23,32_0,0.050000000000000044,average,fastANI,32
3300050019_19.fna,3300050019_19,33_0,0.050000000000000044,average,fastANI,33
3300080942_27.fna,3300080942_27,34_0,0.050000000000000044,average,fastANI,34
3300054682_44.fna,3300054682_44,35_1,0.050000000000000044,average,fastANI,35
3300054966_22.fna,3300054966_22,35_1,0.050000000000000044,average,fastANI,35
3300054985_73.fna,3300054985_73,35_1,0.050000000000000044,average,fastANI,35
3300054966_49.fna,3300054966_49,36_0,0.050000000000000044,average,fastANI,36
3300054680_67.fna,3300054680_67,37_1,0.050000000000000044,average,fastANI,37
3300054961_43.fna,3300054961_43,37_1,0.050000000000000044,average,fastANI,37
3300054962_84.fna,3300054962_84,37_1,0.050000000000000044,average,fastANI,37
3300054964_34.fna,3300054964_34,38_0,0.050000000000000044,average,fastANI,38
3300054703_38.fna,3300054703_38,39_0,0.050000000000000044,average,fastANI,39
3300080032_86.fna,3300080032_86,40_0,0.050000000000000044,average,fastANI,40
3300054680_80.fna,3300054680_80,41_1,0.050000000000000044,average,fastANI,41
3300054682_41.fna,3300054682_41,41_1,0.050000000000000044,average,fastANI,41
3300054961_13.fna,3300054961_13,41_1,0.050000000000000044,average,fastANI,41
3300054962_45.fna,3300054962_45,41_1,0.050000000000000044,average,fastANI,41
