"MAG_ID","IMG.Genome.ID","Bin.Completeness","Bin.Contamination","Average.Coverage","Genome_size_Mbp","Ecosystem","Latitude","Longitude","Source","GTDB.Taxonomy.Lineage"
"3300012893_3",3300012893,87.23,0.09,10.95,2.527241,"Environmental; Terrestrial; Soil; Agricultural land; Unclassified",43.3,-89.38,"Soil","Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 70-9; 70-9"
"3300012893_1",3300012893,71.08,1.36,7.27,3.676945,"Environmental; Terrestrial; Soil; Agricultural land; Unclassified",43.3,-89.38,"Soil","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Rahnella"
"3300012900_3",3300012900,81.9,1.38,16.46,2.343836,"Environmental; Terrestrial; Soil; Agricultural land; Unclassified",43.3,-89.38,"Soil","Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 70-9; 70-9"
"3300012909_1",3300012909,93.97,3.45,10.97,4.994635,"Environmental; Terrestrial; Soil; Unclassified; Agricultural land",43.3,-89.38,"Soil","Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Acidobacteriaceae; Terriglobus"
"3300012912_3",3300012912,100,8.54,11.53,2.857434,"Environmental; Terrestrial; Soil; Agricultural land; Unclassified",43.3,-89.38,"Soil","Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 70-9; 70-9"
"3300012913_2",3300012913,94.83,3.88,19.88,2.161229,"Environmental; Terrestrial; Soil; Agricultural land; Unclassified",43.3,-89.38,"Soil","Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 70-9; 70-9"
"3300012915_4",3300012915,92.67,8.33,19.17,2.801201,"Environmental; Terrestrial; Soil; Agricultural land; Unclassified",43.3,-89.38,"Soil","Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 70-9; 70-9"
"3300012916_3",3300012916,75.83,2.37,8.83,2.582868,"Environmental; Terrestrial; Soil; Agricultural land; Unclassified",43.3,-89.38,"Soil","Bacteria; Nitrospirota; Nitrospiria; Nitrospirales; Nitrospiraceae; Nitrospira_C"
"3300012958_12",3300012958,86.03,1.72,23.79,2.318353,"Environmental; Terrestrial; Soil; Agricultural land; Unclassified",42.4531,-76.3842,"Soil","Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 70-9; 70-9"
"3300012961_8",3300012961,89.07,4.02,17.92,2.66161,"Environmental; Terrestrial; Soil; Agricultural land; Unclassified",42.4531,-76.3842,"Soil","Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 70-9; 70-9"
"3300012984_5",3300012984,81.71,8.23,9.67,9.993089,"Environmental; Terrestrial; Soil; Unclassified; Agricultural land",42.4531,-76.3842,"Soil","Bacteria; Myxococcota; Polyangia; Polyangiales; NIC37A-2"
"3300012984_9",3300012984,81.33,3.78,13.68,4.506332,"Environmental; Terrestrial; Soil; Unclassified; Agricultural land",42.4531,-76.3842,"Soil","Bacteria; Myxococcota; Polyangia; Polyangiales; NIC37A-2; NIC37A-2"
"3300012984_7",3300012984,99.04,1.01,39.07,4.980569,"Environmental; Terrestrial; Soil; Unclassified; Agricultural land",42.4531,-76.3842,"Soil","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae_H; Bacillus_C; Bacillus_C megaterium"
"3300012984_4",3300012984,88.06,5.65,27.89,10.074506,"Environmental; Terrestrial; Soil; Unclassified; Agricultural land",42.4531,-76.3842,"Soil","Bacteria; Myxococcota; Polyangia; Polyangiales; NIC37A-2"
"3300012985_9",3300012985,76.28,1.23,9.21,3.324876,"Environmental; Terrestrial; Soil; Unclassified; Agricultural land",42.4531,-76.3842,"Soil","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; Parafilimonas"
"3300012985_8",3300012985,99.28,0.07,63.38,5.041632,"Environmental; Terrestrial; Soil; Unclassified; Agricultural land",42.4531,-76.3842,"Soil","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae_H; Bacillus_C; Bacillus_C megaterium"
"3300012986_12",3300012986,82.74,0.3,16.36,4.808708,"Environmental; Terrestrial; Soil; Agricultural land; Unclassified",42.4531,-76.3842,"Soil","Bacteria; Bacteroidota; Bacteroidia; Cytophagales; Hymenobacteraceae; Hymenobacter"
"3300012987_7",3300012987,91,0.69,46.68,4.625425,"Environmental; Terrestrial; Soil; Unclassified; Agricultural land",42.4531,-76.3842,"Soil","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae_H; Bacillus_C; Bacillus_C megaterium"
"3300012988_6",3300012988,87.51,8.83,14.57,6.11636,"Environmental; Terrestrial; Soil; Unclassified; Agricultural land",42.4531,-76.3842,"Soil","Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales"
"3300012988_7",3300012988,99.43,4.48,30.11,4.881756,"Environmental; Terrestrial; Soil; Unclassified; Agricultural land",42.4531,-76.3842,"Soil","Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae_H; Bacillus_C; Bacillus_C megaterium"
"3300012989_14",3300012989,89.34,1.26,9.55,2.44272,"Environmental; Terrestrial; Soil; Agricultural land; Unclassified",42.4531,-76.3842,"Soil","Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Brevundimonas"
"3300012989_7",3300012989,96.43,5.42,11.02,7.099579,"Environmental; Terrestrial; Soil; Agricultural land; Unclassified",42.4531,-76.3842,"Soil","Bacteria; Cyanobacteriota; Cyanobacteriia; Cyanobacteriales; Phormidiaceae; Microcoleus; GCF_000317475.1"
"3300012989_10",3300012989,79.59,2.23,8.87,4.299068,"Environmental; Terrestrial; Soil; Agricultural land; Unclassified",42.4531,-76.3842,"Soil","Bacteria; Cyanobacteriota; Cyanobacteriia; Cyanobacteriales"
"3300013097_7",3300013097,73.45,2.23,8.81,3.383355,"Environmental; Terrestrial; Soil; Desert; Unclassified",-78.0749,163.892,"Soil","Bacteria; Cyanobacteriota; Cyanobacteriia; Cyanobacteriales; Chamaesiphonaceae; Chamaesiphon"
"3300013097_2",3300013097,85.65,2.17,9.95,5.30357,"Environmental; Terrestrial; Soil; Desert; Unclassified",-78.0749,163.892,"Soil","Bacteria; Acidobacteriota; Acidobacteriae; Solibacterales; Solibacteraceae; Ga0077553"
"3300013097_6",3300013097,95.61,1.36,13.56,3.717564,"Environmental; Terrestrial; Soil; Desert; Unclassified",-78.0749,163.892,"Soil","Bacteria; Verrucomicrobiota; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae"
"3300014151_12",3300014151,94.19,4.19,21.02,3.89833,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Desulfobacterota; BSN033; BSN033; UBA1163; UBA1163; GCA_002311635.1"
"3300014151_15",3300014151,78,1.87,11.74,1.786013,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Archaea; Crenarchaeota; Bathyarchaeia; B26-1; UBA233; UBA11855"
"3300014151_10",3300014151,88.6,3.42,24.58,4.257394,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Methylomirabilota; Methylomirabilia; Methylomirabilales; 2-02-FULL-66-22; 2-02-FULL-66-22"
"3300014151_11",3300014151,73.7,7.26,12.22,3.876669,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Desulfobacterota; Syntrophobacteria; Syntrophobacterales; Syntrophobacteraceae"
"3300014152_10",3300014152,96.95,0.29,9.44,3.50217,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Lentimicrobiaceae"
"3300014152_12",3300014152,84.52,2.9,43.34,3.129379,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Desulfobacterota; BSN033; BSN033; UBA1163; UBA1163; GCA_002311635.1"
"3300014152_20",3300014152,88.03,2.14,18.1,1.476761,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Actinobacteriota; Acidimicrobiia; Acidimicrobiales; UBA7543"
"3300014153_18",3300014153,70.31,7.98,20.12,1.405891,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Actinobacteriota; Acidimicrobiia; Acidimicrobiales; UBA7543"
"3300014153_10",3300014153,91.61,3.55,55.04,3.942007,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Desulfobacterota; BSN033; BSN033; UBA1163; UBA1163; GCA_002311635.1"
"3300014153_11",3300014153,87.16,1.1,9.45,3.671687,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Fibrobacterota; Chitinivibrionia; Chitinivibrionales; UBA10882"
"3300014155_7",3300014155,94.84,3.55,32.41,4.44049,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Desulfobacterota; BSN033; BSN033; UBA1163; UBA1163; GCA_002311635.1"
"3300014155_17",3300014155,99.53,6.54,17.84,2.470583,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Archaea; Crenarchaeota; Bathyarchaeia; B26-1; UBA233; 20-14-0-80-47-9"
"3300014155_16",3300014155,95.48,0.13,50.34,2.855579,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Desulfobacterota; Desulfobaccia; Desulfobaccales; 0-14-0-80-60-11; 0-14-0-80-60-11"
"3300014155_13",3300014155,77.49,1.71,14.91,3.225238,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Methylomirabilota; Methylomirabilia; Methylomirabilales; 2-02-FULL-66-22; 2-02-FULL-66-22"
"3300014156_12",3300014156,93.3,0.65,13.46,1.703756,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Archaea; Halobacterota; Methanosarcinia; UBA590; UBA590; UBA590; GCA_002509385.1"
"3300014156_8",3300014156,74.66,1.1,19.45,2.064171,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Fibrobacterota; Chitinivibrionia; Chitinivibrionales"
"3300014156_10",3300014156,87.18,1.38,23.69,1.853241,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Actinobacteriota; Acidimicrobiia; Acidimicrobiales; UBA7543"
"3300014156_9",3300014156,75.91,1.21,8.49,1.914109,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Chloroflexota; Dehalococcoidia; Dehalococcoidales; UBA3254"
"3300014156_11",3300014156,90,2.4,46.19,1.57654,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Archaea; Thermoplasmatota; UBA184; UBA184; UBA184; UBA184; GCA_002503985.1"
"3300014158_12",3300014158,91.03,3.09,14.24,2.040224,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Actinobacteriota; Acidimicrobiia; Acidimicrobiales; UBA7543"
"3300014158_9",3300014158,82.76,1.72,41.78,3.539126,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; Solirubrobacteraceae"
"3300014158_13",3300014158,90.08,1.33,16.05,1.662188,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Archaea; Halobacterota; Methanosarcinia; UBA590; UBA590; UBA590; GCA_002509385.1"
"3300014159_14",3300014159,92.74,1.28,16.41,1.835181,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Actinobacteriota; Acidimicrobiia; Acidimicrobiales; UBA7543"
"3300014159_10",3300014159,93.89,1.1,10.72,2.688615,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Fibrobacterota; Chitinivibrionia; Chitinivibrionales"
"3300014159_21",3300014159,81.78,0.93,10.33,0.924423,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Archaea; Micrarchaeota; Micrarchaeia; Micrarchaeales; Micrarchaeaceae; UBA12276"
"3300014159_15",3300014159,88.73,1.66,21.64,1.576262,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Archaea; Halobacterota; Methanosarcinia; UBA590; UBA590; UBA590; GCA_002509385.1"
"3300014160_13",3300014160,82.6,0.9,13.68,1.774073,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Verrucomicrobiota; Verrucomicrobiae"
"3300014160_11",3300014160,82.84,0.11,7.79,1.897624,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Chloroflexota; Dehalococcoidia; Dehalococcoidales; UBA3254"
"3300014161_14",3300014161,89.27,1.32,8.36,1.931504,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Chloroflexota; Dehalococcoidia; Dehalococcoidales; UBA3254"
"3300014161_15",3300014161,81,1.24,10.11,1.759054,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Verrucomicrobiota; Verrucomicrobiae"
"3300014162_15",3300014162,77.34,2.25,9.1,1.175132,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Dependentiae; Babeliae; Babeliales; Vermiphilaceae"
"3300014162_9",3300014162,88.37,4.42,22.02,2.049579,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Actinobacteriota; Acidimicrobiia; Acidimicrobiales; UBA7543"
"3300014162_12",3300014162,91.62,3.27,18.36,1.666397,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Archaea; Halobacterota; Methanosarcinia; UBA590; UBA590; UBA590; GCA_002509385.1"
"3300014162_8",3300014162,82.35,1.1,14.87,2.534067,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Bacteria; Fibrobacterota; Chitinivibrionia; Chitinivibrionales"
"3300014162_10",3300014162,84.34,2.4,18.57,1.417483,"Environmental; Terrestrial; Soil; Wetlands; Peat",47.1149,-88.5476,"Soil","Archaea; Thermoplasmatota; UBA184; UBA184; UBA184; UBA184; GCA_002503985.1"
