"MAG_ID","IMG.Genome.ID","Bin.Completeness","Bin.Contamination","Average.Coverage","Genome_size_Mbp","Ecosystem.x","Latitude","Longitude","Source","GTDB.Taxonomy.Lineage"
"3300013100_25",3300013100,83.47,0.02,97.7,3.853807,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; GCF_001429295.1"
"3300013100_29",3300013100,89.01,9.54,16.79,3.178369,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Gemmatimonadota; Gemmatimonadetes; Gemmatimonadales; Gemmatimonadaceae"
"3300013100_20",3300013100,98,2.47,31.9,4.30386,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Weeksellaceae; Chryseobacterium; Chryseobacterium indoltheticum"
"3300013100_13",3300013100,94.74,1.78,61.66,5.944278,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Pedobacter"
"3300013100_17",3300013100,76.36,7.3,48.69,4.882838,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Ralstonia; GCF_900115545.1"
"3300013100_31",3300013100,75.36,3.87,39.47,2.916069,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Erwinia_B; Erwinia_B gerundensis"
"3300013100_30",3300013100,94.64,3.4,9.21,2.959247,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Verrucomicrobiota; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; UBA1315"
"3300013102_21",3300013102,91.79,1.29,13.59,4.831496,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Myxococcota; Myxococcia; Myxococcales; Myxococcaceae"
"3300013102_18",3300013102,91.6,1.28,22.99,5.505059,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Sphingobacteriales; Sphingobacteriaceae; Pedobacter"
"3300013102_11",3300013102,70.13,6.8,49.76,8.418579,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas_E"
"3300013102_17",3300013102,97.08,1.59,98.54,5.713483,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Ralstonia; GCF_900115545.1"
"3300013102_20",3300013102,98.69,0.57,223.52,5.124623,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Rahnella"
"3300013102_25",3300013102,89.96,3.2,15.13,3.168944,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Firmicutes; Bacilli; Bacillales_A; Planococcaceae; Psychrobacillus"
"3300013102_19",3300013102,74.73,7.69,13.05,5.460229,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Acidobacteriota; Acidobacteriae; Acidobacteriales; Koribacteraceae"
"3300013104_31",3300013104,97.29,4.53,20.98,4.282014,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium"
"3300013104_22",3300013104,97.26,5.03,51.5,5.652537,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Ralstonia; GCF_900115545.1"
"3300013104_57",3300013104,88.83,1.67,19.16,2.179565,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Nitrosomonadaceae; Nitrosospira"
"3300013104_34",3300013104,87.99,1.97,16.75,3.937814,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; UBA8621"
"3300013104_37",3300013104,90.73,2.85,12.42,3.670022,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Actinobacteriota; Actinobacteria; Actinomycetales; Micrococcaceae; Arthrobacter_A"
"3300013104_21",3300013104,90.87,4.94,8.26,6.0952,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; UBA8621"
"3300013104_43",3300013104,98.7,3.67,12.07,3.225234,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Verrucomicrobiota; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; UBA1315"
"3300013104_47",3300013104,74.79,5.76,6.67,2.74831,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Chitinophagales; Chitinophagaceae; JJ008"
"3300013104_48",3300013104,70.41,6.22,12.31,2.592263,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Proteobacteria; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Brevundimonas"
"3300013105_19",3300013105,97.6,1.7,90.26,5.663233,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Betaproteobacteriales; Burkholderiaceae; Paraburkholderia_E"
"3300013105_42",3300013105,96.95,1.29,19.07,2.754733,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Actinobacteriota; Thermoleophilia; Solirubrobacterales; 70-9; 70-9"
"3300013105_20",3300013105,94.7,3.03,28.03,5.396267,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Bacteroidota; Bacteroidia; Flavobacteriales; Flavobacteriaceae; Flavobacterium; Flavobacterium johnsoniae"
"3300013105_33",3300013105,72.04,0.26,8.91,3.822958,"Host-associated; Plants; Roots; Rhizosphere; Soil",42.3948,-85.3738,"plant-associated","Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas_B"
